	Perturbed Premise	Perturbed Hypothesis	label	Original Premise	Original Hypothesis	perturbed_label	attack
344	A hockey player in helmet.	Pxlayers are weKaring Dhelmet.	1	A hockey player in helmet.	Players are wearing helmet.	0	WordSwapRandomCharacterInsertion
345	A white duck expanding its wings in the water.	The Uduck is a rare breed, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordSwapRandomCharacterInsertion
346	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woyan climber attempts to pull herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	1	WordSwapRandomCharacterSubstitution
347	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing geZr.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	2	WordSwapRandomCharacterSubstitution
348	an old shoemaker in his factory	The shoemaser is gGtting ready for his 1lth birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordSwapRandomCharacterSubstitution
349	A hockey player in helmet.	PlayerJ are wearing helhet.	1	A hockey player in helmet.	Players are wearing helmet.	0	WordSwapRandomCharacterSubstitution
350	A white duck expanding its wings in the water.	The dpck is a rare breed, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordSwapRandomCharacterSubstitution
351	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to push herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	0	WordSwapWordNetAntonym
352	a man with a red headband climbing a rock cliff looming over greenery.	A woman has on climbing gear.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	0	WordSwapWordNetAntonym
353	an old shoemaker in his factory	The shoemaker is leave ready for his 16th birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordSwapWordNetAntonym
354	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A climber attempts to pull herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	1	WordDeletion
355	a man with a red headband climbing a rock cliff looming over greenery.	.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	0	WordDeletion
356	an old shoemaker in his factory	The shoemaker is getting his 16th birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordDeletion
357	A hockey player in helmet.	Players are.	1	A hockey player in helmet.	Players are wearing helmet.	0	WordDeletion
358	A white duck expanding its wings in the water.	The duck is a, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordDeletion
359	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman attempts climber to pull herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	0	WordInnerSwapRandom
360	a man with a red man climbing a rock cliff looming over greenery.	A headband has on climbing gear.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	2	WordInnerSwapRandom
361	A hockey helmet wearing are.	Players helmet in player.	1	A hockey player in helmet.	Players are wearing helmet.	2	WordInnerSwapRandom
362	A white breed expanding its wings in the water.	The duck is a rare duck, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordInnerSwapRandom
363	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to crawl herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	0	WordSwapMaskedLM
364	a man with a red headband climbing a rock cliff looming over greenery.	A man has on black gear.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	0	WordSwapMaskedLM
365	an old shoemaker in his factory	The shoemaker is young ready for his 16th birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordSwapMaskedLM
366	A hockey player in helmet.	Players are wearing lego.	1	A hockey player in helmet.	Players are wearing helmet.	0	WordSwapMaskedLM
367	A white duck expanding its wings in the water.	The raven is a rare breed, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordSwapMaskedLM
368	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A a climber attempts to pull herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	1	WordSwapWordNetSynonyms
369	a man with a red headband climbing a rock cliff looming over greenery.	A man has on p gear.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	2	WordSwapWordNetSynonyms
370	an old shoemaker in his factory	The l is getting ready for his 16th birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordSwapWordNetSynonyms
371	A hockey player in helmet.	Players are wearing t.	1	A hockey player in helmet.	Players are wearing helmet.	0	WordSwapWordNetSynonyms
372	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into x years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordSwapWordNetSynonyms
373	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pukl herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	0	WordSwapQWERTY
374	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing geqr.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	2	WordSwapQWERTY
375	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman snowboarder attempts to pull herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	0	WordSwapEmbedding
376	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing airspeed.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	0	WordSwapEmbedding
377	an old shoemaker in his factory	The pizza is getting ready for his 16th birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordSwapEmbedding
378	A hockey player in helmet.	Players are wearing turban.	1	A hockey player in helmet.	Players are wearing helmet.	0	WordSwapEmbedding
379	A white duck expanding its wings in the water.	The canard is a rare breed, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordSwapEmbedding
380	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A zombie attempts to pull herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	0	WordMergeMaskedLM
381	a man with a red headband climbing a rock cliff looming over greenery.	A man has on pajamas.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	0	WordMergeMaskedLM
382	an old shoemaker in his factory	The shoemaker is young for his 16th birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordMergeMaskedLM
383	A hockey player in helmet.	Players are women.	1	A hockey player in helmet.	Players are wearing helmet.	2	WordMergeMaskedLM
384	A white duck expanding its wings in the water.	The duck is a dinosaur, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordMergeMaskedLM
385	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A wоman climber attempts to pull herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	1	WordSwapHomoglyphSwap
386	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing geaⲅ.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	2	WordSwapHomoglyphSwap
387	an old shoemaker in his factory	The shoemaker is getting ready for his 16tհ birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordSwapHomoglyphSwap
388	A hockey player in helmet.	Players are wearing helme𝚝.	1	A hockey player in helmet.	Players are wearing helmet.	0	WordSwapHomoglyphSwap
389	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinc𝚝ion years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordSwapHomoglyphSwap
390	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing track.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	2	WordSwapHowNet
391	A hockey player in helmet.	Weightlifters are wearing helmet.	1	A hockey player in helmet.	Players are wearing helmet.	0	WordSwapHowNet
392	A white duck expanding its wings in the water.	The truant is a rare breed, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordSwapHowNet
393	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to rip herself up	2	a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.	A woman climber attempts to pull herself up	0	WordSwapWordNet
394	a man with a red headband climbing a rock cliff looming over greenery.	A man has on wax gear.	1	a man with a red headband climbing a rock cliff looming over greenery.	A man has on climbing gear.	0	WordSwapWordNet
395	an old shoemaker in his factory	The shoemaker is arrest ready for his 16th birthday.	2	an old shoemaker in his factory	The shoemaker is getting ready for his 16th birthday.	0	WordSwapWordNet
396	A hockey player in helmet.	Players are tiring helmet.	1	A hockey player in helmet.	Players are wearing helmet.	2	WordSwapWordNet
397	A white duck expanding its wings in the water.	The hedge is a rare breed, most thought to have been driven into extinction years ago.	2	A white duck expanding its wings in the water.	The duck is a rare breed, most thought to have been driven into extinction years ago.	0	WordSwapWordNet
398	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a rgoup of people stnad	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	2	WordSwapNeighboringCharacterSwap
399	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sing for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapNeighboringCharacterSwap
400	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shtis on the sand.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	2	WordSwapNeighboringCharacterSwap
401	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a grop of people tand	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordSwapRandomCharacterDeletion
402	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate me convinced their dog to write a panhandling sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapRandomCharacterDeletion
403	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the and.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapRandomCharacterDeletion
404	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a groGup of peoplZe sbtand	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	2	WordSwapRandomCharacterInsertion
405	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate meKn convinced their dog to write a panhandling sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapRandomCharacterInsertion
406	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shMits on the sand.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapRandomCharacterInsertion
407	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people sLand	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordSwapRandomCharacterSubstitution
408	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a Vanhandling sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapRandomCharacterSubstitution
409	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seaguhl shits on the sand.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapRandomCharacterSubstitution
410	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people sit	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordSwapWordNetAntonym
411	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A daughter swims while a seagull shits on the sand.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapWordNetAntonym
412	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordDeletion
413	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordDeletion
414	A group of people people near and on a large black of on the ground with some yellow writing on a.	it group square stand stand	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordInnerSwapRandom
415	Two men wearing dirty clothing are sitting on a sidewalk men their dog and begging for money using a cardboard sign.	These two illiterate with convinced their dog to write a panhandling sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordInnerSwapRandom
416	A boy swims shirtless with a black and red bathing suit while a seagull sits on the seagull.	A boy swims while a sand shits on the sand.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordInnerSwapRandom
417	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people sit	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordSwapMaskedLM
418	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their cat to write a panhandling sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapMaskedLM
419	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the grassy.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapMaskedLM
420	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people v	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordSwapWordNetSynonyms
421	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a p sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapWordNetSynonyms
422	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the v.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapWordNetSynonyms
423	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stanc	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordSwapQWERTY
424	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhanxling sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapQWERTY
425	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the qand.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapQWERTY
426	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people bleachers	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordSwapEmbedding
427	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These three illiterate men convinced their dog to write a panhandling sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapEmbedding
428	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the asphalt.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapEmbedding
429	one of people sitting and on green on black with graffiti on f.	 of people stand	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordMergeMaskedLM
430	girls wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordMergeMaskedLM
431	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on ice.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordMergeMaskedLM
432	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people s𝚝and	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	2	WordSwapHomoglyphSwap
433	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandⅼing sign for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapHomoglyphSwap
434	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the ѕand.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapHomoglyphSwap
435	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling totem for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapHowNet
436	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the gravel.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapHowNet
437	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people bandstand	1	A group of people stand near and on a large black square on the ground with some yellow writing on it.	a group of people stand	0	WordSwapWordNet
438	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling mansion for them.	2	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	These two illiterate men convinced their dog to write a panhandling sign for them.	0	WordSwapWordNet
439	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy drown while a seagull shits on the sand.	1	A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.	A boy swims while a seagull shits on the sand.	0	WordSwapWordNet
440	A variety of people are sitting around a tale doing craft projects.	The people are rceative.	1	A variety of people are sitting around a tale doing craft projects.	The people are creative.	2	WordSwapNeighboringCharacterSwap
441	A family walking with a soldier.	A few people walk with a man in unifrom.	1	A family walking with a soldier.	A few people walk with a man in uniform.	2	WordSwapNeighboringCharacterSwap
442	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are chilrden in the streets.	2	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are children in the streets.	1	WordSwapNeighboringCharacterSwap
443	A worker peers out from atop a building under construction.	A man is aotp of a buildign.	1	A worker peers out from atop a building under construction.	A man is atop of a building.	2	WordSwapNeighboringCharacterSwap
444	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The mna in white and black is leapign.	0	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The man in white and black is leaping.	1	WordSwapNeighboringCharacterSwap
445	A variety of people are sitting around a tale doing craft projects.	The people are cretive.	1	A variety of people are sitting around a tale doing craft projects.	The people are creative.	2	WordSwapRandomCharacterDeletion
446	A family walking with a soldier.	A few people wak with a man in uniform.	1	A family walking with a soldier.	A few people walk with a man in uniform.	2	WordSwapRandomCharacterDeletion
447	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are hildren in the streets.	2	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are children in the streets.	1	WordSwapRandomCharacterDeletion
448	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The mn in white and black is leaping.	0	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The man in white and black is leaping.	1	WordSwapRandomCharacterDeletion
449	A family walking with a soldier.	A few people walk with a man in unifoZrm.	1	A family walking with a soldier.	A few people walk with a man in uniform.	2	WordSwapRandomCharacterInsertion
450	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	TheCre are czhildren in the streets.	2	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are children in the streets.	1	WordSwapRandomCharacterInsertion
451	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The muan in white and blanck is leapSing.	0	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The man in white and black is leaping.	1	WordSwapRandomCharacterInsertion
452	A variety of people are sitting around a tale doing craft projects.	The people are cceative.	1	A variety of people are sitting around a tale doing craft projects.	The people are creative.	2	WordSwapRandomCharacterSubstitution
453	A family walking with a soldier.	A few people whlk with a man in uniform.	1	A family walking with a soldier.	A few people walk with a man in uniform.	2	WordSwapRandomCharacterSubstitution
454	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are Qhildren in the stqeets.	2	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are children in the streets.	1	WordSwapRandomCharacterSubstitution
455	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The mbn in white and blaDk is zeaping.	0	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The man in white and black is leaping.	1	WordSwapRandomCharacterSubstitution
456	A variety of people are sitting around a tale doing craft projects.	The people are uncreative.	1	A variety of people are sitting around a tale doing craft projects.	The people are creative.	0	WordSwapWordNetAntonym
457	A family walking with a soldier.	A few people walk with a woman in uniform.	1	A family walking with a soldier.	A few people walk with a man in uniform.	2	WordSwapWordNetAntonym
458	A worker peers out from atop a building under construction.	A woman is atop of a building.	1	A worker peers out from atop a building under construction.	A man is atop of a building.	0	WordSwapWordNetAntonym
459	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The woman in white and black is leaping.	0	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The man in white and black is leaping.	1	WordSwapWordNetAntonym
460	A variety of people are sitting around a tale doing craft projects.	The people are.	1	A variety of people are sitting around a tale doing craft projects.	The people are creative.	0	WordDeletion
461	A family walking with a soldier.	A few people walk a man in uniform.	1	A family walking with a soldier.	A few people walk with a man in uniform.	2	WordDeletion
462	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are in the streets.	2	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are children in the streets.	1	WordDeletion
463	A worker peers out from atop a building under construction.	A man atop a building.	1	A worker peers out from atop a building under construction.	A man is atop of a building.	2	WordDeletion
464	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The in white and black is leaping.	0	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The man in white and black is leaping.	1	WordDeletion
465	creative variety of people are sitting around a tale doing craft projects.	The people are A.	1	A variety of people are sitting around a tale doing craft projects.	The people are creative.	2	WordInnerSwapRandom
466	A family walking with a uniform.	A few people walk with a man in soldier.	1	A family walking with a soldier.	A few people walk with a man in uniform.	2	WordInnerSwapRandom
467	A female runner dressed in blue athletic wear is There in a competition, while spectators line the street.	running are children in the streets.	2	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are children in the streets.	0	WordInnerSwapRandom
468	A worker peers out from A a building under construction.	atop man is atop of a building.	1	A worker peers out from atop a building under construction.	A man is atop of a building.	0	WordInnerSwapRandom
469	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, man a female dressed in black coat and pants awaits.	The where in white and black is leaping.	0	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The man in white and black is leaping.	1	WordInnerSwapRandom
470	A variety of people are sitting around a tale doing craft projects.	The people are new.	1	A variety of people are sitting around a tale doing craft projects.	The people are creative.	2	WordSwapMaskedLM
471	A family walking with a soldier.	A few people dance with a man in uniform.	1	A family walking with a soldier.	A few people walk with a man in uniform.	0	WordSwapMaskedLM
472	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are goats in the streets.	2	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are children in the streets.	0	WordSwapMaskedLM
473	A worker peers out from atop a building under construction.	A man is atop of a car.	1	A worker peers out from atop a building under construction.	A man is atop of a building.	0	WordSwapMaskedLM
474	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The someone in white and black is leaping.	0	A person dressed in white and black winter clothing leaps a narrow, water-filled ditch from one frost-covered field to another, where a female dressed in black coat and pants awaits.	The man in white and black is leaping.	1	WordSwapMaskedLM
475	A variety of people are sitting around a tale doing craft projects.	The people are v.	1	A variety of people are sitting around a tale doing craft projects.	The people are creative.	0	WordSwapWordNetSynonyms
476	A family walking with a soldier.	A few people walk with a man in v.	1	A family walking with a soldier.	A few people walk with a man in uniform.	0	WordSwapWordNetSynonyms
477	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	i are children in the streets.	2	A female runner dressed in blue athletic wear is running in a competition, while spectators line the street.	There are children in the streets.	0	WordSwapWordNetSynonyms
478	A worker peers out from atop a building under construction.	A man is atop of a u.	1	A worker peers out from atop a building under construction.	A man is atop of a building.	2	WordSwapWordNetSynonyms
