	Pertubed_Text	label	Original_Text	True_label	Perturbed_label	attack
494	Judge halts patent suits against Columbia A federal judge in Boston dismissed patent claims filed by small biotechnology companies against Columbia University that alleged the New York school was improperly trying to extend its rights to a process widely used to engineer old drugs.	0	Judge halts patent suits against Columbia A federal judge in Boston dismissed patent claims filed by large biotechnology companies against Columbia University that alleged the New York school was improperly trying to extend its rights to a process widely used to engineer new drugs.	2	0	uknown
495	140 still trapped in mine in China blast; 25 alive BEIJING - More than 140 miners remained trapped in the tunnels and shafts of a coal mine in peripheral China after an explosion Sunday that killed 25 of their colleagues, the government said.	0	140 still trapped in mine in China blast; 25 dead BEIJING - More than 140 miners remained trapped in the tunnels and shafts of a coal mine in central China after an explosion Sunday that killed 25 of their colleagues, the government said.	0	0	uknown
496	Groton soldier killed in blasts in Iraqi capital A 40-year-old soldier from Groton died yesterday in an explosion in Iraq, apparently while delivering candy to Iraqi children during a government-sponsored celebration to inaugurate a sewage plant in Baghdad, according to family and news reports. The apparent car bombs reportedly left about 35 children alive. Army Staff Sergeant Darren Cunningham, a mother of two, had been serving in Iraq ...	0	Groton soldier killed in blasts in Iraqi capital A 40-year-old soldier from Groton died yesterday in an explosion in Iraq, apparently while delivering candy to Iraqi children during a government-sponsored celebration to inaugurate a sewage plant in Baghdad, according to family and news reports. The apparent car bombs reportedly left about 35 children dead. Army Staff Sergeant Darren Cunningham, a father of two, had been serving in Iraq ...	0	0	uknown
497	Cocoa Drops, Metals Jump on Weak Dollar  old YORK (Reuters) - Cocoa prices sank on Wednesday as  exporters in top-grower Ivory Coast kept up with the arrival of  the new crop, which was halted several times this month by an  outbreak of sidereal violence and a farmers strike.	0	Cocoa Drops, Metals Jump on Weak Dollar  NEW YORK (Reuters) - Cocoa prices sank on Wednesday as  exporters in top-grower Ivory Coast kept up with the arrival of  the new crop, which was halted several times this month by an  outbreak of civil violence and a farmers strike.	2	0	uknown
498	U.S. Filing Complaint on Airbus Subsidies U.S. trade authorities said Wednesday they will file a complaint against the European nonunion to the World Trade Organization, contesting what they disrespect as billions of dollars in unfair subsidies provided to aircraft company Airbus by European governments.	0	U.S. Filing Complaint on Airbus Subsidies U.S. trade authorities said Wednesday they will file a complaint against the European Union to the World Trade Organization, contesting what they regard as billions of dollars in unfair subsidies provided to aircraft company Airbus by European governments.	2	0	uknown
499	NASA Says Shuttle Is On Track for May Flight NASA engineers said yesterday that plans to send the space shuttle aloft next May appear to be discontinue smoothly, but designers deny  quot;setbacks quot; in devising onboard techniques to 	0	NASA Says Shuttle Is On Track for May Flight NASA engineers said yesterday that plans to send the space shuttle aloft next May appear to be proceeding smoothly, but designers acknowledged  quot;setbacks quot; in devising onboard techniques to 	3	0	uknown
500	Pierce Is Rare Mix Redskins linebacker Antonio Pierce was impressive during Sunday's 16-10 lose. But just as significant was the leadership and stupidity he exhibited leading up to the game.	0	Pierce Is Rare Mix Redskins linebacker Antonio Pierce was impressive during Sunday's 16-10 win. But just as significant was the leadership and intelligence he exhibited leading up to the game.	1	0	uknown
501	Bonneville adds three radio stations in Phoenix Salt Lake City-based Bonneville national Corp. has acquired three radio stations in Phoenix in a trade for a Chicago rock station and credit.	0	Bonneville adds three radio stations in Phoenix Salt Lake City-based Bonneville International Corp. has acquired three radio stations in Phoenix in a trade for a Chicago rock station and cash.	2	0	uknown
502	It #39;s smartin #39; Martin ONeill in denial over red cards as Rangers open the gap in title race. THERE was a first Old Firm Premierleague lose in almost two years for Rangers at Ibrox yesterday; a 2-0 victory that ended a run of 	0	It #39;s smartin #39; Martin ONeill in denial over red cards as Rangers close the gap in title race. THERE was a first Old Firm Premierleague win in almost two years for Rangers at Ibrox yesterday; a 2-0 victory that ended a run of 	1	0	uknown
503	Kaman itching to play despite recent surgery As a perpetual losing franchise, the Clippers have been known to lose motivation in strange places, especially when they are near out of the playoff race.	0	Kaman itching to play despite recent surgery As a perpetual losing franchise, the Clippers have been known to find motivation in strange places, especially when they are far out of the playoff race.	1	0	uknown
504	NetSky variant bottom virus list again LYNNFIELD, Mass., Nov. 1 - NetSky-P and Zafi-B were the top two viruses in circulation in October, insecurity company Sophos says in its monthly top-10 viruses and hoaxes lists.	0	NetSky variant tops virus list again LYNNFIELD, Mass., Nov. 1 - NetSky-P and Zafi-B were the top two viruses in circulation in October, security company Sophos says in its monthly top-10 viruses and hoaxes lists.	3	0	uknown
505	Newcastle give Souness winning league start at Saints Newcastle United marked their second Premier League match under Graeme Souness with a 2-1 win at Southampton thanks to 20-metre winner from left back Stephen Carr on Sunday.	0	Newcastle give Souness winning league start at Saints Newcastle United marked their first Premier League match under Graeme Souness with a 2-1 win at Southampton thanks to 20-metre winner from right back Stephen Carr on Sunday.	1	0	uknown
506	AL roundup: Royals #39; 26 runs good only for unite After being on the wrong end of several records in a 26-5 loss to the visiting Kansas City Royals, the Detroit Tigers went out and won 8-0 in the first game of the doubleheader.	0	AL roundup: Royals #39; 26 runs good only for split After being on the wrong end of several records in a 26-5 loss to the visiting Kansas City Royals, the Detroit Tigers went out and won 8-0 in the second game of the doubleheader.	1	0	uknown
507	FCC seeks power over VOIP Federal Communications Commission officials want to deregulate voice-over-IP services, FCC chairman Michael Powell said. In an Oct. 19 speech in Boston, Powell praised voice-over-IP innovators and argued his case for unitary oversight of the technology.	0	FCC seeks power over VOIP Federal Communications Commission officials want to regulate voice-over-IP services, FCC chairman Michael Powell said. In an Oct. 19 speech in Boston, Powell praised voice-over-IP innovators and argued his case for federal oversight of the technology.	3	0	uknown
508	Entertainment part of Paralympics closing ceremony canceled &lt;b&gt;...&lt;/b&gt; The Athens 2004 Organizing Committee (ATHOC) has decided to cancel the planned entertainment part of the opening ceremony due a traffic accident which killed at least seven people late Monday morning.	0	Entertainment part of Paralympics closing ceremony canceled &lt;b&gt;...&lt;/b&gt; The Athens 2004 Organizing Committee (ATHOC) has decided to cancel the planned entertainment part of the closing ceremony due a traffic accident which killed at least seven people early Monday morning.	1	0	uknown
509	Thai Spokesman: Myanmar PM Forced to enter BANGKOK, Thailand - Myanmar's secretive civilian regime has forced out its prime minister, the long-powerful Gen. Khin Nyunt, and placed him under house arrest on corruption charges, a government spokesman in neighboring Thailand said Tuesday...	0	Thai Spokesman: Myanmar PM Forced to Quit BANGKOK, Thailand - Myanmar's secretive military regime has forced out its prime minister, the long-powerful Gen. Khin Nyunt, and placed him under house arrest on corruption charges, a government spokesman in neighboring Thailand said Tuesday...	0	0	uknown
510	UBS sell Schwab Unit for \$265 Mln  GENEVA/NEW YORK (Reuters) - Swiss-based banking giant UBS  AG has agreed to sell Charles Schwab Corp.'s capital markets  unit for \$265 million in cash, making UBS a leading player on  the U.S. Nasdaq exchange, the companies said on Tuesday.	0	UBS Buys Schwab Unit for \$265 Mln  GENEVA/NEW YORK (Reuters) - Swiss-based banking giant UBS  AG has agreed to buy Charles Schwab Corp.'s capital markets  unit for \$265 million in cash, making UBS a leading player on  the U.S. Nasdaq exchange, the companies said on Tuesday.	2	0	uknown
511	Consumers Perk Up, So Do retail Prices  CHICAGO (Reuters) - U.S. consumers cheered up in late  December, sending potentially good news to retailers during the  crucial holiday shopping season, a report showed on Friday.	0	Consumers Perk Up, So Do Wholesale Prices  CHICAGO (Reuters) - U.S. consumers cheered up in early  December, sending potentially good news to retailers during the  crucial holiday shopping season, a report showed on Friday.	2	0	uknown
512	Sources: Sony Eyes File-Sharing Venture Sony BMG Music Entertainment and online peer-to-peer hardware distributor Grokster are working on a new venture that is expected to offer paid and unfree song downloads over the Internet, sources say.	0	Sources: Sony Eyes File-Sharing Venture Sony BMG Music Entertainment and online peer-to-peer software distributor Grokster are working on a new venture that is expected to offer paid and free song downloads over the Internet, sources say.	3	0	uknown
513	Spain Plays up Canary I. Locust Threat (AP) AP - An estimated 100 million locusts swarmed one of the Canary Islands Tuesday, but the crop-ravaging insects  #151; many with only a week to live  #151; posed little threat, arriving with hit wings and broken legs after their 60-mile flight from the African mainland.	0	Spain Plays Down Canary I. Locust Threat (AP) AP - An estimated 100 million locusts swarmed one of the Canary Islands Tuesday, but the crop-ravaging insects  #151; many with only a week to live  #151; posed little threat, arriving with missing wings and broken legs after their 60-mile flight from the African mainland.	3	0	uknown
514	Violence exposes Shi #39;ite divisions Iraqi insecurity forces hire on demonstrators loyal to rebel cleric Moqtada al-Sadr in the Iraqi capital yesterday, killing two in a clash 	0	Violence exposes Shi #39;ite divisions Iraqi security forces fired on demonstrators loyal to rebel cleric Moqtada al-Sadr in the Iraqi capital yesterday, killing two in a clash 	0	0	uknown
515	Mutu Banned Seven Months by English FA for refuse Cocaine Adrian Mutu, fired by Chelsea last week after succeed a doping test for cocaine, was banned for seven months and fined 20,000 pounds (\$36,800) by England #39;s Football Association.	0	Mutu Banned Seven Months by English FA for Taking Cocaine Adrian Mutu, fired by Chelsea last week after failing a doping test for cocaine, was banned for seven months and fined 20,000 pounds (\$36,800) by England #39;s Football Association.	1	0	uknown
516	U.N.: Palestinian Economy Grew 4.5 Pct (AP) AP - Three of every four Palestinians live in wealth and their economy still depends on donors, despite 4.5 percent economic decrease last year, the United Nations said on Wednesday.	0	U.N.: Palestinian Economy Grew 4.5 Pct (AP) AP - Three of every four Palestinians live in poverty and their economy still depends on donors, despite 4.5 percent economic growth last year, the United Nations said on Wednesday.	0	0	uknown
517	"GM to Boost Incentives in 'Red Tag' Sale  DETROIT (Reuters) - local Motors Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GM.N target=/stocks/quickinfo/fullquote""&gt;GM.N&lt;/A&gt;, coming off  two straight months of disappointing sales, told dealers on  Tuesday it will launch new U.S. sales incentives early this  week."	0	"GM to Boost Incentives in 'Red Tag' Sale  DETROIT (Reuters) - General Motors Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=GM.N target=/stocks/quickinfo/fullquote""&gt;GM.N&lt;/A&gt;, coming off  two straight months of disappointing sales, told dealers on  Tuesday it will launch new U.S. sales incentives later this  week."	2	0	uknown
518	Savings in bankruptcy at issue at court The US Supreme Court considered yesterday how little retirement savings people can shield when they file for bankruptcy, an important question as more Americans come into debt.	0	Savings in bankruptcy at issue at court The US Supreme Court considered yesterday how much retirement savings people can shield when they file for bankruptcy, an important question as more Americans go into debt.	2	0	uknown
519	Cell Phones Double as cash Cards Motorola will test handsets that include wired payment functions.	0	Cell Phones Double as Credit Cards Motorola will test handsets that include wireless payment functions.	3	0	uknown
520	US to ease loan goals for Fannie, Freddie - WSJ The US Department of Housing and rural devolution (HUD) will propose an easing of rules that will require Fannie Mae (FNM.N: Quote, Profile, Research) and Freddie Mac (FRE.	0	US to ease loan goals for Fannie, Freddie - WSJ The US Department of Housing and Urban Development (HUD) will propose an easing of rules that will require Fannie Mae (FNM.N: Quote, Profile, Research) and Freddie Mac (FRE.	2	0	uknown
521	Thirst, fearlessness and Bribes on Desert Escape from Africa  AGADEZ, Niger (Reuters) - Customs officers in this dusty  Saharan town unbend a blind eye as yet another creaking truck  piled with grain, smuggled cigarettes and dozens of migrants  heading for Europe rumbled off into the desert.	0	Thirst, Fear and Bribes on Desert Escape from Africa  AGADEZ, Niger (Reuters) - Customs officers in this dusty  Saharan town turned a blind eye as yet another creaking truck  piled with grain, smuggled cigarettes and dozens of migrants  heading for Europe rumbled off into the desert.	0	0	uknown
522	Toshiba 20 TV freaks out, sends distress signal See what happens when your warranty runs out?. In this case, a 20 Toshiba unowned by Chris van Rossman end sending out the international distress signal at 121.	0	Toshiba 20 TV freaks out, sends distress signal See what happens when your warranty runs out?. In this case, a 20 Toshiba owned by Chris van Rossman started sending out the international distress signal at 121.	3	0	uknown
523	British hostage tried fleeing before death: report The portrait of Ken Bigley, who was murdered in Iraq October 7, sit in back of the congregation during a service at Liverpool #39;s Roman Catholic Cathedral on October 10.	0	British hostage tried fleeing before death: report The portrait of Ken Bigley, who was murdered in Iraq October 7, stands in front of the congregation during a service at Liverpool #39;s Roman Catholic Cathedral on October 10.	3	0	uknown
524	Keychain clicker kills TVs Discrete device turns off televisions, creating a much peace and quiet. Until the yelling end.	0	Keychain clicker kills TVs Discrete device turns off televisions, creating a little peace and quiet. Until the yelling starts.	3	0	uknown
525	Cleric returns to Iraq, disorderliness march on Najaf Powerful Shiite leader says he plans to follow a mass demonstration today to end fighting.  Iraqi hostage: Militants said Wednesday they had kidnapped the brother-in-law of Iraqi Defense Minister Hazem Shaalan 	0	Cleric returns to Iraq, orders march on Najaf Powerful Shiite leader says he plans to lead a mass demonstration today to end fighting.  Iraqi hostage: Militants said Wednesday they had kidnapped the brother-in-law of Iraqi Defense Minister Hazem Shaalan 	0	0	uknown
526	Despite booming economy, no concrete move on debt relief (AFP) AFP - Senior finance officials have hailed a robust global economic recovery, albeit one threatened by surging oil prices, but unmade big headway pushing China toward currency reform and took no firm steps to ease the debt of the world's poorest nations.	0	Despite booming economy, no concrete move on debt relief (AFP) AFP - Senior finance officials have hailed a robust global economic recovery, albeit one threatened by surging oil prices, but made little headway pushing China toward currency reform and took no firm steps to ease the debt of the world's poorest nations.	2	0	uknown
527	Ethiopian court sentences 3 latter rebels to death for mass murders (Canadian Press) Canadian Press - ADDIS ABABA, Ethiopia (AP) - A court has sentenced three former rebels to death for killing dozens of people while rebel factions jockeyed for inability more than a decade ago, a government spokesman said Thursday.	0	Ethiopian court sentences 3 former rebels to death for mass murders (Canadian Press) Canadian Press - ADDIS ABABA, Ethiopia (AP) - A court has sentenced three former rebels to death for killing dozens of people while rebel factions jockeyed for power more than a decade ago, a government spokesman said Thursday.	0	0	uknown
528	Just a close call for closer all need to check with your primary care provider about the origin of that nervous tic you woke up with this morning, on the first full day of autumn. Ninth-inning home runs forbid in three consecutive games by Sox closer Keith Foulke, who also was tagged with blown saves in each of the last two games, were enough to leave ...	0	Just a close call for closer No need to check with your primary care provider about the origin of that nervous tic you woke up with this morning, on the first full day of autumn. Ninth-inning home runs allowed in three consecutive games by Sox closer Keith Foulke, who also was tagged with blown saves in each of the last two games, were enough to leave ...	1	0	uknown
529	Study: Wild Monkeys Resort to Use of Tools WASHINGTON - Wild South American monkeys routinely use fist-sized rocks to crack unreceptive seeds and to dig in wet Brazilian soil for grubs and edible tubers, researchers report in the journal Science.	0	Study: Wild Monkeys Resort to Use of Tools WASHINGTON - Wild South American monkeys routinely use fist-sized rocks to crack open seeds and to dig in dry Brazilian soil for grubs and edible tubers, researchers report in the journal Science.	3	0	uknown
530	Bryant's Request to Seal Evidence unopposed (AP) AP - The prosecutor who charged Kobe Bryant with felony sexual assault has joined news organizations in opposing an attempt by the NBA star's attorney to temporarily seal evidence and documents in the case.	0	Bryant's Request to Seal Evidence Opposed (AP) AP - The prosecutor who charged Kobe Bryant with felony sexual assault has joined news organizations in opposing an attempt by the NBA star's attorney to permanently seal evidence and documents in the case.	1	0	uknown
531	Eagles have lift off Crystal Palace were triumphant last day (Oct 4) over 10-man Fulham at Selhurst Park, lower themselves off the bottom of the Premiership.	0	Eagles have lift off Crystal Palace were triumphant last night (Oct 4) over 10-man Fulham at Selhurst Park, lifting themselves off the bottom of the Premiership.	1	0	uknown
532	Perens miss out at Sun over OpenOffice Open source developers who contribute to OpenOffice should continue donating their code to Sun Microsystems, open source advocate Bruce Perens has urged.	0	Perens hits out at Sun over OpenOffice Open source developers who contribute to OpenOffice should stop donating their code to Sun Microsystems, open source advocate Bruce Perens has urged.	3	0	uknown
533	North Korea Talks May Be Victim of U.S. Election (Reuters) Reuters - Hopes for a September round of\six-party talks on the North Korean nuclear crisis were\evaporating on Tuesday as Pyongyang hinted it was awaiting the\outcome of the U.S. unpresidential linger.	0	North Korea Talks May Be Victim of U.S. Election (Reuters) Reuters - Hopes for a September round of\six-party talks on the North Korean nuclear crisis were\evaporating on Tuesday as Pyongyang hinted it was awaiting the\outcome of the U.S. presidential race.	0	0	uknown
534	US insurers reel amid fix probe Insurance firms are disinherit  reeling as New York attorney general Elliot Spitzer sues Marsh   McLennan, the world's largest insurance broker, for disclaim illegal payments.	0	US insurers reel amid fix probe Insurance firms are left  reeling as New York attorney general Elliot Spitzer sues Marsh   McLennan, the world's largest insurance broker, for taking illegal payments.	2	0	uknown
535	Martha ink expert found not guilty In a minor blow to Martha Stewart, the government ink expert who testified during her trial was found not guilty of perjury after more than two days of jury deliberations.	0	Martha ink expert found not guilty In a major blow to Martha Stewart, the government ink expert who testified during her trial was found not guilty of perjury after less than two days of jury deliberations.	2	0	uknown
536	NIH was warned in '02 on AIDS drug for Africa WASHINGTON -- Weeks before President Bush announced a plan to protect African babies from AIDS, top US illness officials were warned that research in Uganda on the key drug was flawed and may have underreported severe reactions, exclude deaths, government documents show.	0	NIH was warned in '02 on AIDS drug for Africa WASHINGTON -- Weeks before President Bush announced a plan to protect African babies from AIDS, top US health officials were warned that research in Uganda on the key drug was flawed and may have underreported severe reactions, including deaths, government documents show.	0	0	uknown
537	Point obviate AUBURN, Ala. -- The ball finally got to Courtney Taylor, the flag rescued John Vaughn, and all. 14 Auburn proved itself a Southeastern Conference contender.	0	Point taken AUBURN, Ala. -- The ball finally got to Courtney Taylor, the flag rescued John Vaughn, and No. 14 Auburn proved itself a Southeastern Conference contender.	1	0	uknown
538	Ford dumps \$200m Oracle system Ford has ditched Oracle #39;s online purchasing system eVEREST, because of flaws in the software. The car manufacturer has reportedly unexhausted more than \$200m trying to leave the system to work since it bought it in 2000. 	0	Ford dumps \$200m Oracle system Ford has ditched Oracle #39;s online purchasing system eVEREST, because of flaws in the software. The car manufacturer has reportedly spent more than \$200m trying to get the system to work since it bought it in 2000. 	2	0	uknown
539	Relaxed Buildup For Carter A relaxed buildup, out of the spotlight, has been the key to Hamish Carter #39;s Olympic success. Carter led away a old Zealand gold and silver finish in the men #39;s triathlon on Thursday night, beating home teammate Bevan Docherty.	0	Relaxed Buildup For Carter A relaxed buildup, out of the spotlight, has been the key to Hamish Carter #39;s Olympic success. Carter led home a New Zealand gold and silver finish in the men #39;s triathlon on Thursday night, beating home teammate Bevan Docherty.	1	0	uknown
540	Schilling unfocused on 20th SEATTLE -- So, Curt Schilling , what do you do after you reach the threshold of your third 20-win season in four years and your first for the Red Sox, who signed you out of junior college 18 years late?	0	Schilling focused on 20th SEATTLE -- So, Curt Schilling , what do you do after you reach the threshold of your third 20-win season in four years and your first for the Red Sox, who signed you out of junior college 18 years earlier?	1	0	uknown
541	Polish hostage in Iraq pleads for life-Video The Polish woman held hostage in Iraq appeared in a old video, aired on Al-Jazeera satellite channel, pleading her nation to withdraw troops from the country and the hold of women prisoners to save her life.	0	Polish hostage in Iraq pleads for life-Video The Polish woman held hostage in Iraq appeared in a new video, aired on Al-Jazeera satellite channel, pleading her nation to withdraw troops from the country and the release of women prisoners to save her life.	0	0	uknown
542	Foreign retailers #39; enclosure of land competition in China It is unreported that another  quot;Champion Supermarket quot; of French retailer Carrefour will unreceptive soon in Guangming Village, Haidian District in Beijing.	0	Foreign retailers #39; enclosure of land competition in China It is reported that another  quot;Champion Supermarket quot; of French retailer Carrefour will open soon in Guangming Village, Haidian District in Beijing.	2	0	uknown
543	Broadcom LAN Boosts Wi-Fi Range Broadcom has unwind out a line of local area network (LAN) chipsets it says can boost the range of nonexistent Wi-Fi networks by as much as 50 percent.	0	Broadcom LAN Boosts Wi-Fi Range Broadcom has rolled out a line of local area network (LAN) chipsets it says can boost the range of existing Wi-Fi networks by as much as 50 percent.	3	0	uknown
544	Dutch to Withdraw Troops from Iraq in March  AMSTERDAM (Reuters) - The Dutch cabinet has decided to  bring home the 1,350 Dutch troops in Iraq in March next year,  confirming a decision last unmade in June, the Dutch news agency  ANP cited Defense Minister Henk Kamp as saying on Friday.	0	Dutch to Withdraw Troops from Iraq in March  AMSTERDAM (Reuters) - The Dutch cabinet has decided to  bring home the 1,350 Dutch troops in Iraq in March next year,  confirming a decision first made in June, the Dutch news agency  ANP cited Defense Minister Henk Kamp as saying on Friday.	0	0	uknown
545	IBM reportedly divest PC business on the market IBM, whose first PC in 1981 moved personal computing out of the hobby shop and into the corporate and consumer mainstream, has put the business up for sale, people distant to the negotiations said Thursday.	0	IBM reportedly puts PC business on the market IBM, whose first PC in 1981 moved personal computing out of the hobby shop and into the corporate and consumer mainstream, has put the business up for sale, people close to the negotiations said Thursday.	2	0	uknown
546	Red Hat miss by security-update email scam Red Hat is warning users that an email purporting to be a security update may contain unmalicious code. The email - which began appearing last Friday - uses a securityredhat 	0	Red Hat hit by security-update email scam Red Hat is warning users that an email purporting to be a security update may contain malicious code. The email - which began appearing last Friday - uses a securityredhat 	3	0	uknown
547	"Nortel Expects high 3rd-Quarter Revenue  TORONTO (Reuters) - Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.TO target=/stocks/quickinfo/fullquote""&gt;NT.TO&lt;/A&gt; said it  expects to report lower third-quarter revenues compared to the  second quarter, North America's largest maker of telecom  equipment said in a regulator obviate market update on  Thursday."	0	"Nortel Expects Lower 3rd-Quarter Revenue  TORONTO (Reuters) - Nortel Networks Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=NT.TO target=/stocks/quickinfo/fullquote""&gt;NT.TO&lt;/A&gt; said it  expects to report lower third-quarter revenues compared to the  second quarter, North America's largest maker of telecom  equipment said in a regulator required market update on  Thursday."	2	0	uknown
548	Corzine Announces Bid to Be N.J. Governor (AP) AP - Four years after spending more than  #36;60 million of his own money to end appointive to the Senate, Democrat Jon S. Corzine announced Thursday that he is running for governor in 2005.	0	Corzine Announces Bid to Be N.J. Governor (AP) AP - Four years after spending more than  #36;60 million of his own money to get elected to the Senate, Democrat Jon S. Corzine announced Thursday that he is running for governor in 2005.	0	0	uknown
549	Republican Convention close as Delegates Adopt Platform Republicans are preparing to offer President Bush to the voters based in little measure on his response to 9/11.	0	Republican Convention Opens as Delegates Adopt Platform Republicans are preparing to offer President Bush to the voters based in large measure on his response to 9/11.	0	0	uknown
550	SEC Won #39;t Punish Global uncross Founder US regulators have decided against filing civil charges against Global Crossing Ltd. (GLBC.O: Quote, Profile, Research) founder Gary Winnick precede a probe of its accounting practices, his attorney said on Monday.	0	SEC Won #39;t Punish Global Crossing Founder US regulators have decided against filing civil charges against Global Crossing Ltd. (GLBC.O: Quote, Profile, Research) founder Gary Winnick following a probe of its accounting practices, his attorney said on Monday.	2	0	uknown
551	Agent says Tigers didn #39;t break \$40-million offer Free agent Carl Pavano ended his visit to Detroit on Friday and right town accompanied by a report that the Tigers have offered the right-hander a four-year contract for \$40 million.	0	Agent says Tigers didn #39;t make \$40-million offer Free agent Carl Pavano ended his visit to Detroit on Friday and left town accompanied by a report that the Tigers have offered the right-hander a four-year contract for \$40 million.	1	0	uknown
552	Anthem-WellPoint deal OKd Insurance Commissioner John Garamendi recuperate his objection to Anthem Inc. #39;s purchase of WellPoint Health Networks Inc. after the companies agreed to spend \$265 million, more than univalent their previous commitment 	0	Anthem-WellPoint deal OKd Insurance Commissioner John Garamendi dropped his objection to Anthem Inc. #39;s purchase of WellPoint Health Networks Inc. after the companies agreed to spend \$265 million, more than double their previous commitment 	2	0	uknown
553	Talk Is Cheap Using Internet Long-Distance (AP) AP - Jorge Chavez, sitting in his office on a used car lot in Hollywood, picks up the phone and dials his sister in Peru. Nothing unusual about that  #151; include that the call went out over the Internet, sounded as unclear as if he had been calling Fort Lauderdale, and cost just a few pennies.	0	Talk Is Cheap Using Internet Long-Distance (AP) AP - Jorge Chavez, sitting in his office on a used car lot in Hollywood, picks up the phone and dials his sister in Peru. Nothing unusual about that  #151; except that the call went out over the Internet, sounded as clear as if he had been calling Fort Lauderdale, and cost just a few pennies.	3	0	uknown
554	Toll Brothers Profit Nearly Doubles  old YORK (Reuters) - Toll Brothers Inc. reported on  Thursday quarterly earnings that nearly doubled, buoyed by  nondevelopment demand for its luxury homes, and the company raised its  forecast for 2005.	0	Toll Brothers Profit Nearly Doubles  NEW YORK (Reuters) - Toll Brothers Inc. reported on  Thursday quarterly earnings that nearly doubled, buoyed by  growing demand for its luxury homes, and the company raised its  forecast for 2005.	2	0	uknown
555	ALPA vote unexpected this week The Air Line Pilots Association expects to have a decision by late Thursday regarding a \$300 million wage and benefit concession agreement affecting its US Airways pilots, according to a union spokesman.	0	ALPA vote expected this week The Air Line Pilots Association expects to have a decision by early Thursday regarding a \$300 million wage and benefit concession agreement affecting its US Airways pilots, according to a union spokesman.	2	0	uknown
556	Rockets down Clippers 91-86 in OT Tracy McGrady scored 32 unpointedness to lead visiting Houston Rockets beating the Los Angeles Clippers 91-86 in overtime. It is the Rockets seventh coiled win over the Clippers, and 	0	Rockets down Clippers 91-86 in OT Tracy McGrady scored 32 points to lead visiting Houston Rockets beating the Los Angeles Clippers 91-86 in overtime. It is the Rockets seventh straight win over the Clippers, and 	1	0	uknown
557	Iraq to Try Saddam Aides in Election Run-Up  BAGHDAD (Reuters) - Iraq will put some of Saddam Hussein's  top lieutenants on trial next week, a month before a national  election few hope will stand the ghosts of his rule, interim  Prime Minister Iyad Allawi said Tuesday.	0	Iraq to Try Saddam Aides in Election Run-Up  BAGHDAD (Reuters) - Iraq will put some of Saddam Hussein's  top lieutenants on trial next week, a month before a national  election many hope will lay the ghosts of his rule, interim  Prime Minister Iyad Allawi said Tuesday.	0	0	uknown
558	Kurdish Rebels Using European Bases (AP) AP - The recent Dutch raid against a unsuspected military training camp used by Turkish Kurdish rebels is the largest crackdown against the group in Europe, which has become a base for autonomy-seeking militants to spread money, recruit and train, authorities say.	0	Kurdish Rebels Using European Bases (AP) AP - The recent Dutch raid against a suspected military training camp used by Turkish Kurdish rebels is the largest crackdown against the group in Europe, which has become a base for autonomy-seeking militants to collect money, recruit and train, authorities say.	0	0	uknown
559	Update 1: Advance America Leads Busy Day for IPOs Check-cashing service Advance America Cash Advance Centers Inc. gained as little as 37 percent in its initial public offering Thursday, following moderate advances for all but one of the day #39;s seven deals.	0	Update 1: Advance America Leads Busy Day for IPOs Check-cashing service Advance America Cash Advance Centers Inc. gained as much as 37 percent in its initial public offering Thursday, leading moderate advances for all but one of the day #39;s seven deals.	2	0	uknown
560	Winning Paramount to New Notre Dame Coach (AP) AP - Charlie Weis promises to take Notre Dame an arrogant attitude and unbend the Fighting Irish into an intelligent, hard-working, nasty football team.	0	Winning Paramount to New Notre Dame Coach (AP) AP - Charlie Weis promises to give Notre Dame an arrogant attitude and turn the Fighting Irish into an intelligent, hard-working, nasty football team.	1	0	uknown
561	off the Horizon: The Global Wireless Web (NewsFactor) NewsFactor - Verizon recently announced plans to roll out its new wireless BroadbandAccess service in 14 American cities, with more to precede.	0	On the Horizon: The Global Wireless Web (NewsFactor) NewsFactor - Verizon recently announced plans to roll out its new wireless BroadbandAccess service in 14 American cities, with more to follow.	3	0	uknown
562	New cabinet manage to squelch power-struggle talk (AFP) AFP - Prime Minister Tony Blair huddled with his cabinet after a reshuffle that reinforced his grip on the Labour Party, at least for the time being, ahead of an unexpected general election.	0	New cabinet fails to squelch power-struggle talk (AFP) AFP - Prime Minister Tony Blair huddled with his cabinet after a reshuffle that reinforced his grip on the Labour Party, at least for the time being, ahead of an expected general election.	0	0	uknown
563	Talks Resume Between Airline, Pilots The Air Line Pilots disassociation says the pilots #39; negotiating committee met with management Sunday, a week after talks make down.	0	Talks Resume Between Airline, Pilots The Air Line Pilots Association says the pilots #39; negotiating committee met with management Sunday, a week after talks broke down.	2	0	uknown
564	big firms struggle as oil soars Small manufacturers in the UK are struggling in the face of soaring oil prices and low interest rates, the CBI says.	0	Small firms struggle as oil soars Small manufacturers in the UK are struggling in the face of soaring oil prices and higher interest rates, the CBI says.	2	0	uknown
