index	Perturbed_Question1	Perturbed_Question2	label	Original_Question1	Original_Question2	original_label
187	 What is a good solar panel installation provider near, California CA?	 What is a good solar panel installation provider near, California CA?	1	 What is a good solar panel installation provider near Lemon Cove, California CA?	 What is a good solar panel installation provider near Angels Camp, California CA?	0
188	 Who is your favorite Prison Break character?	 Who is the best actor Prison Break?	1	 Who is your favorite Prison Break character?	 Who is the best looking actor in Prison Break?	0
189	 How many time can one attempt for JEE Main one?	 How many times can I the JEE Mains?	1	 How many time can one attempt for JEE Main in one year?	 How many times can I give the JEE Mains?	0
190	 FtM: How much of an effect did have on your mental/emotional health when you?	  of mental and emotional health?	1	 FtM: How much of an effect did Testosterone have on your mental/emotional health when you started HRT?	 What are examples of mental and emotional health?	0
191	 Which is the best way to pass the exam?	 What is the best way to for the exam?	1	 Which is the best way to pass the 74-322 exam?	 What is the best way to prepare for the 74-674 exam?	0
192	 What is operational?	 What is operations research?	0	 What is operational research?	 What is operations research?	1
193	 What is your new year, short term and long term goal for?	 What will be your New Year's resolution for 2017?	0	 What is your new year resolution, short term and long term goal for 2017?	 What will be your New Year's resolution for 2017?	1
194	 Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting matter?	 Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?	0	 Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting dark matter?	 Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?	1
195	 Where can I get a for in?	  the universities for in?	1	 Where can I get a consistent high quality service for commercial cleaning in Bangalore?	 What are the lowest fee universities for ms in australia?	0
196	 What are the most common ways people get rich in apart from inherited and winning the lottery?	 Wealth Creation: What the most common ways work only days a?	1	 What are the most common ways people get rich in Singapore apart from inherited wealth and winning the lottery?	 Wealth Creation: What are the most common ways to work only four days a week?	0
197	 What will happen to the next Star Wars movies after Carrie Fisher's?	 What will Carrie Fisher's mean for the Star Wars movies?	0	 What will happen to the next Star Wars movies after Carrie Fisher's death?	 What will Carrie Fisher's death mean for the next Star Wars movies?	1
198	 What is the weirdest thing about you? you proud of it?	 What is the weirdest thing about you?	1	 What is the weirdest thing about you? Are you proud of it?	 What is the weirdest thing about you?	0
199	 Which kind of fit can we of pen and their (cap)?	 How do I/fit a tablet pen a?	1	 Which kind of fit can we say of pen and their opener (cap)?	 How do I scale/fit a tablet pen to a canvas?	0
200	 Which is suitable for an and why?	 Suggest me an is suitable for little and at an budget upto 57k?	1	 Which searching technique is suitable for an ordered linked list and why?	 Suggest me an laptop which is suitable for little gaming and engineering also durable at an budget upto 57k?	0
201	 a for Google images?	  of Google View?	1	 Design a server architecture for serving Google maps images?	 Why is Austria not part of Google Street View?	0
202	 How do I know Jesus is to?	 How do you know Jesus is only way to heaven?	1	 How do I know Jesus is talking to me?	 How do you know Jesus is the only way to heaven?	0
203	 Can reach an orgasm from anal sex?	  common is it for a man to be able to reach orgasm from vaginal but not oral sex?	1	 Can women reach an orgasm from anal sex?	 How common is it for a man to be able to reach orgasm from vaginal sex but not oral sex?	0
204	 What is an analogy for a smooth ER?	 What is an analogy for smooth?	0	 What is an analogy for a smooth ER?	 What is an analogy for smooth ER?	1
205	 it take an in?	 What are in?	1	 How much does it take to put an ad on tv in india?	 What are the master stroke in Indian politics?	0
206	 What is the market of live chat support software?	 What's the size of the live chat industry globally?	0	 What is the market size of live chat support software?	 What's the size of the live chat industry globally?	1
207	 Axl Rose's?	  Axl Rose?	1	 What makes Axl Rose's voice unique?	 Is Axl Rose gay?	0
208	 you target as audience for initial talks?	 How do I target audience in?	1	 Whom did you target as audience for the initial TED talks?	 How do I target B2B audience in LinkedIn?	0
209	 What is the meaning of?	 What is the meaning of meaning?	1	 What is the meaning of stonerindia?	 What is the meaning of meaning?	0
210	 How did you learn another language?	  you learn another language?	1	 How did you learn another language?	 Why shouldn't you learn another language?	0
211	 my location still work if my phone is turned off?	 How do find my phone when turned off?	1	 Does sharing my location still work if my phone is turned off?	 How do I find my phone when turned off?	0
212	 What is the best business to start in Bangalore?	 What is the best business in to start up with?	0	 What is the best business to start in Bangalore?	 What is the best business in Bangalore to start up with?	1
213	 How do you attract parents of preschool children online?	 How do you attract parents of preschool children your website?	1	 How do you attract parents of preschool children online?	 How do you attract parents of preschool children to your website?	0
214	 In Windows 10, how do you association back to unknown program?	 How do you go Insider Program Back to Windows 10?	1	 In Windows 10, how do you change file association back to unknown program?	 How do you go from Windows Insider Program Back to Windows 10?	0
215	 Why do girls date jerks?	 Why do women like jerks?	1	 Why do girls date abusive jerks?	 Why do women like jerks?	0
216	 How should one deal with their own aggressions?	 How do I deal with an aggressive?	1	 How should one deal with their own aggressions?	 How do I deal with an aggressive father?	0
217	 When and how did you become an?	 When did you become an atheist?	0	 When and how did you become an atheist?	 When did you become an atheist?	1
218	 Why and some load? internet speed is not:	  wifi speed being - and it. Is normal?	1	 Why do most websites load slow and some dont even load when using 5ghz wifi? The internet speed is not the problem:	 My wifi speed is being listed as 80 - 100 Mbps and it takes 20 seconds to fully load the front page of YouTube. Is this normal?	0
219	 Why does bill is important?	 What is the effect of GST bill on a common man?	0	 Why does gst bill is important?	 What is the effect of GST bill on a common man?	1
220	 Which aircraft was superior - the Douglas DC8 or the Boeing 707?	 Was the Douglas DC8 a aircraft to the Boeing 707?	0	 Which aircraft was superior - the Douglas DC8 or the Boeing 707?	 Was the Douglas DC8 a superior aircraft to the Boeing 707?	1
221	 How can I expand?	 What can I do to increase my IQ?	0	 How can I expand my IQ?	 What can I do to increase my IQ?	1
222	 Shah, who is said to have the Taj Mahal, marry after killing first husband?	 I first husband after marrying to my, how can this?	1	 Did Mughal ruler Shah Jahan, who is said to have built the Taj Mahal, marry Mumtaz Mahal after killing her first husband?	 I am missing my first husband a lot after marrying to my second husband, how can I overcome this?	0
223	 How can I stop myself from watching too much of porn?	 How shall I stop watching?	0	 How can I stop myself from watching too much of porn?	 How shall I stop watching porn?	1
224	 What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?	 What will the real estate look like now after the and scraping?	0	 What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?	 What will the real estate look like now after the 500 and 1000 scraping?	1
225	 How do I my Yahoo Mail account?	 How do you a Yahoo account?	1	 How do I unlock my Yahoo Mail account?	 How do you disable a Yahoo account?	0
226	 Music: How do I download MP3 songs for free from the?	 Which are the websites that provide free MP3 Music downloads?	1	 Music: How do I download MP3 songs for free from the internet?	 Which are the websites that provide free MP3 Music downloads?	0
227	 Is it worth it to pay for from my pocket?	 Is it foolish to pay for your PhD out of your own pocket?	0	 Is it worth it to pay for PhD from my pocket?	 Is it foolish to pay for your PhD out of your own pocket?	1
228	 What are the best ways to learn to?	 How do I learn to cook?	0	 What are the best ways to learn to cook?	 How do I learn to cook?	1
229	 How will Indian to go to the US for a masters, be affected under a Trump presidency?	 How safe it is for Indians to migrate to the US after Trump becoming the president?	1	 How will Indian aspirants to go to the US for a masters, be affected under a Trump presidency?	 How safe it is for Indians to migrate to the US after Trump becoming the president?	0
230	 Which sentence is correct ？ why?	 Which sentence correct?	1	 Which sentence is correct ？and why?	 Which sentence is correct?	0
231	 What JIRA for?	 What is to use and Jira together?	1	 What is JIRA used for?	 What is the best way to use Basecamp and Jira together?	0
232	 I'm passionate about and self, should I make two separate blogs or one?	 : Is it better to have one blog for interests, or two separate blogs?	1	 If I'm passionate about marketing and self development, should I make two separate blogs or one?	 Personal Branding: Is it better to have one blog for two interests, or two separate blogs?	0
233	 Can a F1 student visa holder become a Uber driver in USA?	 Can I drive for with my H1-B work visa or F1 student visa in the US?	0	 Can a F1 student visa holder become a Uber driver in USA?	 Can I drive for Uber with my H1-B work visa or F1 student visa in the US?	1
234	 What was word spoken by human?	 What is the first word ever spoken?	0	 What was first word spoken by human?	 What is the first word ever spoken?	1
235	 What is labour?	 What is labour?	1	 What is labour?	 What is labour business?	0
236	 Is it healthy for dogs to eat bones?	 Is it safe to feed my dog cooked bones?	1	 Is it healthy for dogs to eat bones?	 Is it safe to feed my dog cooked ham bones?	0
237	 Who was started Social between Indian and?	 Why do Indians who start edited with watermarks social media?	1	 Who was started Social Media war between Indian and Pakistani?	 Why do Indians who purchase DSLRs start posting heavily edited pics with watermarks on social media?	0
238	 Should I give my Main exam offline or online?	 Which mode is best for JEE MAIN 2017 online exam or offline?	0	 Should I give my JEE Main exam offline or online?	 Which mode is best for JEE MAIN 2017 online exam or offline?	1
239	 Which is the best gaming laptop under 40k?	 Can you this from to English language?	1	 Can you TRANSLATE these to English language?	 Can you translate this from Bengali to English language?	0
240	 Why Tamil good?	 Which is the best gaming laptop under,000 rs?	0	 Which is the best gaming laptop under 40k?	 Which is the best gaming laptop under 40,000 rs?	1
241	 What is an easy way to clean stains from a washing it?	 Why the students able to 100% Tamil Nadu?	1	 Why Tamil Nadu Universities are no good?	 Why are the 10th students able to score 100% in Tamil Nadu?	0
242	 What was the deadliest battle in history?	 What are some ways to water stains from dishes?	1	 What is an easy way to clean toothpaste stains from a shirt without washing it?	 What are some ways to remove hard water stains from dishes?	0
243	 What are your views about demonetisation in?	 What was the battle in history?	0	 What was the deadliest battle in history?	 What was the bloodiest battle in history?	1
244	 difference polyester and?	 What do you think about the ban on 500 and 1000 denomination notes in India?	0	 What are your views about demonetisation in India?	 What do you think about the ban on 500 and 1000 denomination notes in India?	1
245	 Is FMS a good option for a MBA executive program?	  difference polyester?	1	 What are the difference between polyester 210T and 210D?	 What is the difference between cotton and polyester?	0
246	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Is FMS a good choice for an MBA in HR? Why and why not?	1	 Is FMS Delhi a good option for a MBA executive program?	 Is FMS a good choice for an MBA in HR? Why and why not?	0
247	 How is vanilla extract made?	 Would be a good time to buy a house in Bay Area?	0	 Is it a bad time to buy a condo or a house in the Bay Area in 2017?	 Would 2017 be a good time to buy a house in Bay Area?	1
248	 What is the, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 How do you make vanilla extract?	1	 How is vanilla extract made?	 How do you make sugar cookies without vanilla extract?	0
249	 Why was the Roman Empire?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	0	 What is the Sahara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	 What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	1
250	 Is it to your to a professor with whom you are trying to make contact for graduate admission?	 What are some of the known facts about the Roman Empire?	1	 Why was the Roman Empire so successful?	 What are some of the rarely known facts about the Roman Empire?	0
251	 Does a extension Sublime Text? Where can it?	 How does contacting a professor before applying factor into graduate admissions?	1	 Is it advisable to sent your cv to a professor with whom you are trying to make contact for graduate admission?	 How does contacting a professor before applying factor into graduate admissions?	0
252	 What is the average salary of a in India?	  the find/ bar Sublime Text?	1	 Does a RainTPL syntax extension for Sublime Text exist? Where can I download it?	 How do I hide the find/replace bar in Sublime Text 2?	0
253	 How do you close a Bank of account?	 What is the salary for a in india?	1	 What is the average salary of a microbiologist in India?	 What is the salary for a psychologist in india?	0
254	 How can I create the most popular on Quora?	 How can one close a bank account online?	1	 How do you close a Bank of America account?	 How can one close a bank account online?	0
255	 What are the requirements to become president in the United States and how are the requirements different in?	 Which are the most popular questions Quora presently that also create the most discussions?	1	 How can I create the most popular question on Quora?	 Which are the most popular questions on Quora presently that also create the most discussions?	0
256	" ""Who is the the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	 What are the requirements to become president in the United States and how are the requirements different in?	1	 What are the requirements to become president in the United States and how are the requirements different in Tanzania?	 What are the requirements to become president in the United States and how are the requirements different in France?	0
257	 Why does a lorikeet make a good pet?	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	1	" ""Who is the Adam the lyrics to Blink-182's """"Adam's Song"""" are written about?"""	" ""Which Blink-182 band member wrote the lyrics to """"Adam's Song""""?"""	0
258	 Which (i.e. primary, secondary, tertiary) the to the GDP? Why?	 Can lorikeets be good pets? What are some to take good care of them?	1	 Why does a rainbow lorikeet make a good pet?	 Can lorikeets be good pets? What are some ways to take good care of them?	0
259	 universe is expanding without and dark vacuum energy expands…?	 What contribution to the GDP?	1	 Which sector (i.e. primary, secondary, tertiary) contributes the most to the GDP of India? Why?	 What is my contribution to the GDP?	0
260	 How is India preparing for against Pakistan?	 If universe without limit and dark/vacuum/ energy,then is energy?	0	 If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	 If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	1
261	 Why we do study computer fundamental in engineering.?	 Is India preparing for a war?	1	 How is India preparing for war against Pakistan?	 Is India preparing for a war?	0
262	 What is smartest question question?	 Do we get to chose computer language when are studying engineering?	1	 Why we do study computer fundamental in software engineering.?	 Do we get to chose only one computer language when we are studying engineering?	0
263	 What is a good text editor?	 What are smartest questions have heard?	1	 What is the smartest question besides this question?	 What are the smartest questions that you have heard?	0
264	 What people who you've met have influenced your life the most?	 What are the best text editor?	1	 What is a good text editor?	 What are the best text editor plugins?	0
265	 How much weed did smoke a day?	 Who are people you have never met who have had the greatest influence on your life?	0	 What people who you've never met have influenced your life the most?	 Who are people you have never met who have had the greatest influence on your life?	1
266	 What is the next number of sequence? 5…..……37…..89…..??	 How much weed you?	1	 How much weed did Bob Marley smoke a day?	 How much weed should you smoke?	0
267	 Which is good for Android (.apk) files?	 What is the next number the sequence?	1	 What is the next number of this sequence? 5…..17……37…..89…..??	 What is the next number in the sequence?	0
268	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Android Application Development: Which software is to APK files?	1	 Which website is good for downloading Android (.apk) files?	 Android Application Development: Which software is used to develop APK files?	0
269	 could HIV-positive have children?	 Do virtual particles and in vacuum really exist? Can we observe them? Where? When?	0	 Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	 Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	1
270	 I'm going to be US President one day. What should I doing now to achieve this?	 Would you marry HIV positive person?	1	 How could an HIV-positive person have children?	 Would you marry an HIV positive person?	0
271	 Why MS captaincy of & T-20?	 I'm 16 and I want to become the US president someday. What should I start doing?	0	 I'm going to be US President one day. What should I start doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	1
272	 are real or are they fake ?	 Why does M.S Dhoni left captaincy for ODI and T20?	0	 Why MS Dhoni leave captaincy of ODI & T-20?	 Why does M.S Dhoni left captaincy for ODI and T20?	1
273	 Where can I buy special flavor cupcake at Gold Coast?	 Do aliens exists?	0	 are aliens real or are they fake ?	 Do aliens exists?	1
274	 Does marijuana cause?	 Where can I found different flavours for cupcakes at Gold?	0	 Where can I buy special flavor cupcake at Gold Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	1
275	 What are the procedures for becoming an?	 How can smoking marijuana give you lung cancer?	0	 Does marijuana cause cancer?	 How can smoking marijuana give you lung cancer?	1
276	 What are some tips on making it through the job interview at?	 What is the procedure of becoming an actuary?	0	 What are the procedures for becoming an actuary?	 What is the procedure of becoming an actuary?	1
277	 How do I find out what operating system I have on my?	 What are some tips it through the job interview process at?	1	 What are some tips on making it through the job interview process at Access National?	 What are some tips on making it through the job interview process at eBay?	0
278	 How do smart and successful people control their?	 How do I find out what operating I have?	1	 How do I find out what operating system I have on my Macbook?	 How do I find out what operating system I have?	0
279	 Can eating only for dinner lead to weight loss?	 How can I control my emotions?	0	 How do smart and successful people control their emotions?	 How can I control my emotions?	1
280	 How do I buy used car in India?	 Does eating dinner earlier in the evening help with weight loss?	1	 Can eating only fruit for dinner lead to weight loss?	 Does eating dinner earlier in the evening help with weight loss?	0
281	 Can i use in ps2 games like Gta San Andreass and others ?	  used car should I buy in India?	1	 How do I buy used car in India?	 Which used car should I buy in India?	0
282	 What the between the House of the Senate?	 Nintendo 3DS: Can I just the games another, use in the console?	1	 Can i use mods in ps2 games like Gta San Andreass and others ?	 Nintendo 3DS: Can I just copy the downloaded games to another, bigger SD card for use in the same console?	0
283	 What are the best tips for outlining/planning a novel?	  both senators the whole, then which do I to vote? What determines?	1	 What is the difference between the House of Representatives and the Senate?	 If both senators represent the whole state, then which senator do I get to vote for? What determines this?	0
284	 What's the easiest way to make money from India?	 How do I best outline my?	0	 What are the best tips for outlining/planning a novel?	 How do I best outline my novel?	1
285	 What will happen if Donald Trump became the president of America?	 What is the best way to make money in india?	1	 What's the easiest way to make money online from India?	 What is the best way to make money in india?	0
286	 Why don't people Captain America below the shield?	  will now that President-elect Donald Trump has won the election?	0	 What will happen if Donald Trump became the president of America?	 What will happen now that President-elect Donald Trump has won the election?	1
287	 Is available in Barcelona?	 Why did everyone have issue accepting Sam Wilson as the new Captain America, no one had an issue Bucky up the shield?	1	 Why don't people just shoot Captain America below the shield?	 Why did everyone have issue accepting Sam Wilson as the new Captain America, no one had an issue when Bucky took up the shield?	0
288	 How do I increase in my body?	 Wher Barcelona?	1	 Is PlatePlay available in Barcelona?	 Wher is Barcelona?	0
289	 When you get a do you feel?	 Does quantity of blood in our body increase we grow?	1	 How do I increase sperms in my body?	 Does the quantity of blood in our body increase as we grow?	0
290	 do countries of Bosnia and Herzegovina?	 What do Quorans of moment when you get a, your mistakes?	1	 When you get a love spell done do you feel drained and tired?	 What do Quorans think of that moment when you finally get a notification and when you open it, it's Quora correcting your spelling mistakes?	0
291	 What is one of the biggest misconceptions people have about you?	  are Bosnia and Herzegovina one country?	1	 What do other countries think of Bosnia and Herzegovina?	 Why are Bosnia and Herzegovina one country?	0
292	 How can you of your Gmail accounts?	 What do you perceive to be the biggest misconception people have about? Why do you think this misconception exists?	0	 What is one of the biggest misconceptions people have about you?	 What do you perceive to be the biggest misconception people have about you? Why do you think this misconception exists?	1
293	" ""What are the best slogans based on the theme """" India"""" or """"ाष्ट्रीया""""?"""	 How do I resolve Gmail issues?	1	 How can you find all of your Gmail accounts?	 How do I resolve Gmail account issues?	0
294	 is the to the Ender saga in?	 What are of the best slogans written on India?	1	" ""What are the best slogans based on the theme """"United India"""" or """"राष्ट्रीय एकता""""?"""	 What are some of the best slogans written on trucks in India?	0
295	 What average music?	  year is Ender's Game ( movie) set in?	1	 What is the best order to read the Ender saga in?	 What year is Ender's Game (2013 movie) set in?	0
296	 Which laptop would be better to buy now an AMD M330 or an i5 5200U AMD R5?	 Can consider a music?	1	 What is the average BPM for these genres of music?	 Can we consider musicals a popular music genre?	0
297	 Are Rolls-Royce to?	 Which laptop would be better the with i5 5200U and AMD R5 M330 2GB or i5 5200U with Nvidia 820M 2GB?	1	 Which laptop would be better to buy now an i5 6200U with AMD R5 M330 or an i5 5200U with AMD R5 M230?	 Which laptop would be better the one with i5 5200U and AMD R5 M330 2GB or i5 5200U with Nvidia 820M 2GB?	0
298	 Economy is in better shape in 2016: Pakistan Bangladesh?	  is the criteria Rolls-Royce?	1	 Are Rolls-Royce cars given only to reputed personalities?	 What is the criteria to buy a Rolls-Royce?	0
299	 Steel: Which the best products manufacturing company in India?	  Pakistan hate Bangladesh?	1	 Whose Economy is in better shape in 2016: Pakistan or Bangladesh?	 Does Pakistan hate Bangladesh?	0
300	 Why didn't Ned Stark bring more men to the Tower of Joy?	 What is the steel production top 10 steel manufacturers in India?	1	 Steel: Which is the best industrial wire products manufacturing company in India?	 What is the steel production capacity of top 10 steel manufacturers individually in India?	0
301	 is meaning of?	 Why did Ned Stark go to the Tower of Joy with so few men? Why bring a small guard (say 20 more men) of loyal and discreet northerners?	0	 Why didn't Ned Stark bring more men to the Tower of Joy?	 Why did Ned Stark go to the Tower of Joy with so few men? Why not bring a small guard (say 20 more men) of loyal and discreet northerners?	1
302	 can eat?	  the meaning of?	1	 What is the meaning of nani desu ka?	 What is the meaning of life?	0
303	 How do you get better?	  eat?	1	 What cheese skins can you eat?	 Why don't Americans eat the skin of a banana?	0
304	 What is a good solar panel installation provider near, California CA?	 How can I dramatically improve my grades?	0	 How do you get better grades?	 How can I dramatically improve my grades?	1
305	 Who is your favorite Prison Break character?	 What is a good solar panel installation provider near, California CA?	1	 What is a good solar panel installation provider near Lemon Cove, California CA?	 What is a good solar panel installation provider near Angels Camp, California CA?	0
306	 How many time can one attempt for JEE Main one?	 Who is the best actor Prison Break?	1	 Who is your favorite Prison Break character?	 Who is the best looking actor in Prison Break?	0
307	 FtM: How much of an effect did have on your mental/emotional health when you?	 How many times can I the JEE Mains?	1	 How many time can one attempt for JEE Main in one year?	 How many times can I give the JEE Mains?	0
308	 Which is the best way to pass the exam?	  of mental and emotional health?	1	 FtM: How much of an effect did Testosterone have on your mental/emotional health when you started HRT?	 What are examples of mental and emotional health?	0
309	 What is operational?	 What is the best way to for the exam?	1	 Which is the best way to pass the 74-322 exam?	 What is the best way to prepare for the 74-674 exam?	0
310	 What is your new year, short term and long term goal for?	 What is operations research?	0	 What is operational research?	 What is operations research?	1
311	 Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting matter?	 What will be your New Year's resolution for 2017?	0	 What is your new year resolution, short term and long term goal for 2017?	 What will be your New Year's resolution for 2017?	1
312	 Where can I get a for in?	 Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?	0	 Is WIMPs incorrect? Will wave-particle duality ever be understood to be a particle and its associated wave in the strongly interacting dark matter?	 Would Einstein and de Broglie have realized a strongly interacting dark matter is the medium for gravitational and wave-particle duality waves?	1
313	 What are the most common ways people get rich in apart from inherited and winning the lottery?	  the universities for in?	1	 Where can I get a consistent high quality service for commercial cleaning in Bangalore?	 What are the lowest fee universities for ms in australia?	0
314	 What will happen to the next Star Wars movies after Carrie Fisher's?	 Wealth Creation: What the most common ways work only days a?	1	 What are the most common ways people get rich in Singapore apart from inherited wealth and winning the lottery?	 Wealth Creation: What are the most common ways to work only four days a week?	0
315	 What is the weirdest thing about you? you proud of it?	 What will Carrie Fisher's mean for the Star Wars movies?	0	 What will happen to the next Star Wars movies after Carrie Fisher's death?	 What will Carrie Fisher's death mean for the next Star Wars movies?	1
316	 Which kind of fit can we of pen and their (cap)?	 What is the weirdest thing about you?	1	 What is the weirdest thing about you? Are you proud of it?	 What is the weirdest thing about you?	0
317	 Which is suitable for an and why?	 How do I/fit a tablet pen a?	1	 Which kind of fit can we say of pen and their opener (cap)?	 How do I scale/fit a tablet pen to a canvas?	0
318	 a for Google images?	 Suggest me an is suitable for little and at an budget upto 57k?	1	 Which searching technique is suitable for an ordered linked list and why?	 Suggest me an laptop which is suitable for little gaming and engineering also durable at an budget upto 57k?	0
319	 How do I know Jesus is to?	  of Google View?	1	 Design a server architecture for serving Google maps images?	 Why is Austria not part of Google Street View?	0
320	 Can reach an orgasm from anal sex?	 How do you know Jesus is only way to heaven?	1	 How do I know Jesus is talking to me?	 How do you know Jesus is the only way to heaven?	0
321	 What is an analogy for a smooth ER?	  common is it for a man to be able to reach orgasm from vaginal but not oral sex?	1	 Can women reach an orgasm from anal sex?	 How common is it for a man to be able to reach orgasm from vaginal sex but not oral sex?	0
322	 it take an in?	 What is an analogy for smooth?	0	 What is an analogy for a smooth ER?	 What is an analogy for smooth ER?	1
323	 What is the market of live chat support software?	 What are in?	1	 How much does it take to put an ad on tv in india?	 What are the master stroke in Indian politics?	0
324	 Axl Rose's?	 What's the size of the live chat industry globally?	0	 What is the market size of live chat support software?	 What's the size of the live chat industry globally?	1
325	 you target as audience for initial talks?	  Axl Rose?	1	 What makes Axl Rose's voice unique?	 Is Axl Rose gay?	0
326	 What is the meaning of?	 How do I target audience in?	1	 Whom did you target as audience for the initial TED talks?	 How do I target B2B audience in LinkedIn?	0
327	 How did you learn another language?	 What is the meaning of meaning?	1	 What is the meaning of stonerindia?	 What is the meaning of meaning?	0
328	 my location still work if my phone is turned off?	  you learn another language?	1	 How did you learn another language?	 Why shouldn't you learn another language?	0
329	 What is the best business to start in Bangalore?	 How do find my phone when turned off?	1	 Does sharing my location still work if my phone is turned off?	 How do I find my phone when turned off?	0
330	 How do you attract parents of preschool children online?	 What is the best business in to start up with?	0	 What is the best business to start in Bangalore?	 What is the best business in Bangalore to start up with?	1
331	 In Windows 10, how do you association back to unknown program?	 How do you attract parents of preschool children your website?	1	 How do you attract parents of preschool children online?	 How do you attract parents of preschool children to your website?	0
332	 Why do girls date jerks?	 How do you go Insider Program Back to Windows 10?	1	 In Windows 10, how do you change file association back to unknown program?	 How do you go from Windows Insider Program Back to Windows 10?	0
333	 How should one deal with their own aggressions?	 Why do women like jerks?	1	 Why do girls date abusive jerks?	 Why do women like jerks?	0
334	 When and how did you become an?	 How do I deal with an aggressive?	1	 How should one deal with their own aggressions?	 How do I deal with an aggressive father?	0
335	 Why and some load? internet speed is not:	 When did you become an atheist?	0	 When and how did you become an atheist?	 When did you become an atheist?	1
336	 Why does bill is important?	  wifi speed being - and it. Is normal?	1	 Why do most websites load slow and some dont even load when using 5ghz wifi? The internet speed is not the problem:	 My wifi speed is being listed as 80 - 100 Mbps and it takes 20 seconds to fully load the front page of YouTube. Is this normal?	0
337	 Which aircraft was superior - the Douglas DC8 or the Boeing 707?	 What is the effect of GST bill on a common man?	0	 Why does gst bill is important?	 What is the effect of GST bill on a common man?	1
338	 How can I expand?	 Was the Douglas DC8 a aircraft to the Boeing 707?	0	 Which aircraft was superior - the Douglas DC8 or the Boeing 707?	 Was the Douglas DC8 a superior aircraft to the Boeing 707?	1
339	 Shah, who is said to have the Taj Mahal, marry after killing first husband?	 What can I do to increase my IQ?	0	 How can I expand my IQ?	 What can I do to increase my IQ?	1
340	 How can I stop myself from watching too much of porn?	 I first husband after marrying to my, how can this?	1	 Did Mughal ruler Shah Jahan, who is said to have built the Taj Mahal, marry Mumtaz Mahal after killing her first husband?	 I am missing my first husband a lot after marrying to my second husband, how can I overcome this?	0
341	 What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?	 How shall I stop watching?	0	 How can I stop myself from watching too much of porn?	 How shall I stop watching porn?	1
342	 How do I my Yahoo Mail account?	 What will the real estate look like now after the and scraping?	0	 What will be the effect of banning 500 and 1000 Rs notes on real estate sector in India? Can we expect sharp fall in prices in short/long term?	 What will the real estate look like now after the 500 and 1000 scraping?	1
343	 Music: How do I download MP3 songs for free from the?	 How do you a Yahoo account?	1	 How do I unlock my Yahoo Mail account?	 How do you disable a Yahoo account?	0
344	 Is it worth it to pay for from my pocket?	 Which are the websites that provide free MP3 Music downloads?	1	 Music: How do I download MP3 songs for free from the internet?	 Which are the websites that provide free MP3 Music downloads?	0
345	 What are the best ways to learn to?	 Is it foolish to pay for your PhD out of your own pocket?	0	 Is it worth it to pay for PhD from my pocket?	 Is it foolish to pay for your PhD out of your own pocket?	1
346	 How will Indian to go to the US for a masters, be affected under a Trump presidency?	 How do I learn to cook?	0	 What are the best ways to learn to cook?	 How do I learn to cook?	1
347	 Which sentence is correct ？ why?	 How safe it is for Indians to migrate to the US after Trump becoming the president?	1	 How will Indian aspirants to go to the US for a masters, be affected under a Trump presidency?	 How safe it is for Indians to migrate to the US after Trump becoming the president?	0
348	 What JIRA for?	 Which sentence correct?	1	 Which sentence is correct ？and why?	 Which sentence is correct?	0
349	 I'm passionate about and self, should I make two separate blogs or one?	 What is to use and Jira together?	1	 What is JIRA used for?	 What is the best way to use Basecamp and Jira together?	0
350	 Can a F1 student visa holder become a Uber driver in USA?	 : Is it better to have one blog for interests, or two separate blogs?	1	 If I'm passionate about marketing and self development, should I make two separate blogs or one?	 Personal Branding: Is it better to have one blog for two interests, or two separate blogs?	0
