index	Perturbed_Question	Perturbed_sentence	label	Original_Question	Original_sentence	original_label
93	Who was the ayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
94	When did Tesla mve to New York City?	In 1882, Tesla egan working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	1	When did Tesla move to New York City?	In 1882, Tesla began working for the Continental Edison Company in France, designing and making improvements to electrical equipment.	0
95	What was the idealized value of iperialism?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	0	What was the idealized value of imperialism?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	1
96	What kind of wter body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
97	What were the Saxon Palace and Brühl Palace in pewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Sxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	0	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Saxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	1
98	What happened to his lab?	His ab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	0	What happened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	1
99	What eventually happened to the Block I progam after the incident?	Cew membes would als exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Blok II titles, regadless of whether a LM was present on the flight or not.	1	What eventually happened to the Block I program after the incident?	Crew members would also exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Block II titles, regardless of whether a LM was present on the flight or not.	0
100	Where is the bordr of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
101	hat other ocation did Apollo 1 est at besdes Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	0	What other location did Apollo 1 test at besides Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	1
102	How muc did Capital Cities Comunications purchase ABC and its properties for?	Due to an FCC ban on same-market ownership of television and radio stations by a single company (although the deal wuld have otherwise complied with new ownership rules implemented by the FCC in January 1985, that allowed broadcasters to own a maximum of 12 television stations), ABC and Capital Cities respectively decided to sell WXYZ-TV and Tampa independent station WFTS-TV to the E. W. Scripps Compny (although Capital Cities/ABC originally intended to seek a cross-ownership waiver to retain WXYZ and Capital Cities-owned radio stations WJR and WHYT).	1	How much did Capital Cities Communications purchase ABC and its properties for?	Due to an FCC ban on same-market ownership of television and radio stations by a single company (although the deal would have otherwise complied with new ownership rules implemented by the FCC in January 1985, that allowed broadcasters to own a maximum of 12 television stations), ABC and Capital Cities respectively decided to sell WXYZ-TV and Tampa independent station WFTS-TV to the E. W. Scripps Company (although Capital Cities/ABC originally intended to seek a cross-ownership waiver to retain WXYZ and Capital Cities-owned radio stations WJR and WHYT).	0
103	What is the ame of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over wheher Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 ame earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	1	What is the name of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	0
104	Who did the BC work with to reconstruct some of The Invasion epiodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	0	Who did the BBC work with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	1
105	hat university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donted by Rice Univrsity, and Administrator Webb announced the conversion on September 19, 1961.	0	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	1
106	What ole in conomics did the university play a major part in?	In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics, the school of economic thought supported by Milton Friedman and other economists.	0	What role in economics did the university play a major part in?	In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics, the school of economic thought supported by Milton Friedman and other economists.	1
107	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physcians practices reportedly dispene drugs on their own.	0	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	1
108	Wha rive uns through Warsw?	Is poulation is estiated at 1.40 million residens ithin a greatr etropolitan area of 2.66 million residets, which akes Warsa the 9h mostpopulous capital ciy in the Europea Union.	1	What river runs through Warsaw?	Its population is estimated at 1.740 million residents within a greater metropolitan area of 2.666 million residents, which makes Warsaw the 9th most-populous capital city in the European Union.	0
109	ho dsigned the Scottish Parliament building?	Since September 2004, the official hoe of the Scottish Parliament has been a ne Scottish Parliament Building, in the Holyrood area of Edinburgh.	1	Who designed the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	0
110	Wh was responsble for the ne building projects in Jacksonville?	Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.	0	Who was responsible for the new building projects in Jacksonville?	Mayor W. Haydon Burns' Jacksonville Story resulted in the construction of a new city hall, civic auditorium, public library and other projects that created a dynamic sense of civic pride.	1
111	Whee was wa fought?	The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North.	0	Where was war fought?	The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North.	1
112	What is the mlinimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	1	What is the minimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	0
113	HoQw was Temüjin kept imprisoned by the Tayichi'ud?	The Tayichi'ud enslaved TeBmüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]	0	How was Temüjin kept imprisoned by the Tayichi'ud?	The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]	1
114	What did Herr Gott, dich loben wir becodme knowxn as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	1	What did Herr Gott, dich loben wir become known as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	0
115	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (UYSA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	1	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	0
116	WhHere did Temüjin hiMde during his escape from the Tayichi'ud?	Temüjin's reputation alnso Qbecame widespread after his escape from the Tayichi'ud.	1	Where did Temüjin hide during his escape from the Tayichi'ud?	Temüjin's reputation also became widespread after his escape from the Tayichi'ud.	0
117	What are the most azctive pbarts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	0	What are the most active parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	1
118	What kact sets forth the functEions of the Scottish Parliament?	The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.	0	What act sets forth the functions of the Scottish Parliament?	The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.	1
119	What is the Englisxh translation of HRet Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	0	What is the English translation of Het Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	1
120	What percentage of farmland grows wheat?	More than 50% of this area is sown for whTeat, 33% for barley and 7% for oats.	0	What percentage of farmland grows wheat?	More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.	1
121	WheOre did the Exposition take place?	This World's Fair devoted a builOding to electrical exhibits.	1	Where did the Exposition take place?	This World's Fair devoted a building to electrical exhibits.	0
122	What is a ligand on the cell surfacTe that is upregulated after helper T cell activation?	In addition, helper T cell activation causes an upregulation of molecules expressed on the T cell's surface, such as CD40 lUigand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.	0	What is a ligand on the cell surface that is upregulated after helper T cell activation?	In addition, helper T cell activation causes an upregulation of molecules expressed on the T cell's surface, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.	1
123	When did Warsaw become the center of the Contgress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	1	When did Warsaw become the center of the Congress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	0
124	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The other thgird of the Cwater flows through the Pannerdens Kanaal and redistributeTs in the IJssel and Nederrijn.	0	If two thirds of the Rhine flows through Waal, where does the other third flow through?	The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn.	1
125	In what year did the university first see a Bdrop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	0	In what year did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	1
126	WhAat caWuses the sCymptoms of inflammatNion?	The symptoms of inflammation are redness, swelling, heat, and pain, which are caused by increased blood flow into tissue.	0	What causes the symptoms of inflammation?	The symptoms of inflammation are redness, swelling, heat, and pain, which are caused by increased blood flow into tissue.	1
127	ZIn which casge did the Court state that fAustria was not allowed to hold places in Austrian schools exclusively for Austrian students?	"In Commission v Austria the Corurt held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid ""structural, staffing and financial problems"" if (mainly German) foreign students applied for places because there was little evidence of an actual problem."	0	In which case did the Court state that Austria was not allowed to hold places in Austrian schools exclusively for Austrian students?	"In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid ""structural, staffing and financial problems"" if (mainly German) foreign students applied for places because there was little evidence of an actual problem."	1
128	Who was the qmayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
129	How much of Jacksonville is made up of watuer?	According to the United States Census Bureau, the city has a total area of 874.3 square miles (2,264 km2), making Jacksonville the largest city in land area in the contiguous United States; of this, 86.66% (757.7 sq mi or 1,962 km2) is land and ; 13.34% (116.7 sq mi or 302 km2) is water.	0	How much of Jacksonville is made up of water?	According to the United States Census Bureau, the city has a total area of 874.3 square miles (2,264 km2), making Jacksonville the largest city in land area in the contiguous United States; of this, 86.66% (757.7 sq mi or 1,962 km2) is land and ; 13.34% (116.7 sq mi or 302 km2) is water.	1
130	Whnat museZum preQserves the memkory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	0	What museum preserves the memory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	1
131	What kind of Kwater body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
132	hWho won the Ekstraklasa Championship in 20M00?	They aloso won the counptry’s championship in 19L46, and won the cup Atwice as awell.	1	Who won the Ekstraklasa Championship in 2000?	They also won the country’s championship in 1946, and won the cup twice as well.	0
133	WhaAt were the Shaxon Palace and Brühl Palace in pWrewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Saxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	0	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Saxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	1
134	What haQppened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	0	What happened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	1
135	Whait eventually happened to the Block I pTrogram after the incident?	Crew members would alsNo Eexclusively wear modified, fire-resistant Block II space suits, and would be designated by the BloNck II titles, regardless of whether a LM was present on the flight or not.	1	What eventually happened to the Block I program after the incident?	Crew members would also exclusively wear modified, fire-resistant Block II space suits, and would be designated by the Block II titles, regardless of whether a LM was present on the flight or not.	0
136	Article 34 meant stadtes could be responsible for what?	Igt alsOo means states can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
137	Where is the bQorder of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
138	What other location did Apollo 1 tbest at besides Kennedy Space Center?	Theiy trained and conducted tests of their spacecrafbt at NCorth American, and in the altitude chamber at the LKennedy Space Center.	0	What other location did Apollo 1 test at besides Kennedy Space Center?	They trained and conducted tests of their spacecraft at North American, and in the altitude chamber at the Kennedy Space Center.	1
139	Wphat is the naWme of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over Vwhether Levi's StQadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	1	What is the name of the turf used in Levi's Stadium for the Super Bowl?	Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issues, and during a week 6 game earlier in the 2015 season, a portion of the turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since.	0
140	Who did the BBC work with to reconstruct some of The Invasion epiUsodes?	The tBBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasrion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	0	Who did the BBC work with to reconstruct some of The Invasion episodes?	The BBC, in conjunction with animation studio Cosgrove Hall, reconstructed the missing episodes 1 and 4 of The Invasion (1968), using remastered audio tracks and the comprehensive stage notes for the original filming, for the serial's DVD release in November 2006.	1
141	Where in South Carolina did Huguenot nobilqity settFle?	He became pastor of the first Huguenot church in North AmeriKca in that city.	1	Where in South Carolina did Huguenot nobility settle?	He became pastor of the first Huguenot church in North America in that city.	0
142	Wuhat university donated the oland for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donVated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	0	What university donated the land for the Manned Spacecraft Center?	A site was chosen in Houston, Texas, on land donated by Rice University, and Administrator Webb announced the conversion on September 19, 1961.	1
143	What do these tearchers NFOT do?	Thesze teaichers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	0	What do these teachers NOT do?	These teachers do not teach by rote but attempt to find new invigoration for the course materials on a daily basis.	1
144	What roDle in econohmics did the university play a major part in?	In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics, the school of economic thought supported by Milton Friedman and other economists.	0	What role in economics did the university play a major part in?	In economics, the university has played an important role in shaping ideas about the free market and is the namesake of the Chicago school of economics, the school of economic thought supported by Milton Friedman and other economists.	1
145	Wheat is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American pmhysicians practices reportedjly dispense drugs on their own.	0	What is the estimate of how many physicians give out drugs on their own?	7 to 10 percent of American physicians practices reportedly dispense drugs on their own.	1
146	WXho dsesigned the Scottish Parliament building?	Since September 2004, the official home of the ScottTish Parliamyent has been a new Scottish Parliament Building, in the Holyrood areCa of Edinburgh.	1	Who designed the Scottish Parliament building?	Since September 2004, the official home of the Scottish Parliament has been a new Scottish Parliament Building, in the Holyrood area of Edinburgh.	0
147	WheNre was war fokught?	The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North.	0	Where was war fought?	The war was fought primarily along the frontiers between New France and the British colonies, from Virginia in the South to Nova Scotia in the North.	1
148	How much time was left in the game when Denver took the score to 24-10?	With 4:51 left in regulation, Ckarolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.	1	How much time was left in the game when Denver took the score to 24-10?	With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.	0
149	What is the mlnimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	1	What is the minimum required if you want to teach in Canada?	In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.	0
150	What did Herr Gott, dich loben wir beXome kLown as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	1	What did Herr Gott, dich loben wir become known as ?	"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody."	0
151	What does UMC stand for?	Tounded in 1968 by the union of the Methodist Church (UCA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	1	What does UMC stand for?	Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.	0
152	Whers did Temüjin hQde during his escape from the Tayichi'ud?	Temüjin's reputation also became widespjead after his escape from the Tayichi'ud.	1	Where did Temüjin hide during his escape from the Tayichi'ud?	Temüjin's reputation also became widespread after his escape from the Tayichi'ud.	0
153	What are the most active Warts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	0	What are the most active parts of ctenophora?	These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.	1
154	Wpat act sets forth the funHtions of the Scottish Parliament?	The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.	0	What act sets forth the functions of the Scottish Parliament?	The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.	1
155	WhFt is the English translation of zet Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scueur (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	0	What is the English translation of Het Scheur?	"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"")."	1
156	What is one of the larYest muslc schools in Europe?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	0	What is one of the largest music schools in Europe?	Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.	1
157	What percentage of farmland grows wheat?	More than 50% of this area is sown for wheaP, 33% for barley and 7% for oats.	0	What percentage of farmland grows wheat?	More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.	1
158	What is a ligand on the cell svrface that is upregnlated after helper T cell activation?	In addition, helper T cell activation causes an upregulation of molecules expressed on the T cell's surface, such as CD40 qigand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.	0	What is a ligand on the cell surface that is upregulated after helper T cell activation?	In addition, helper T cell activation causes an upregulation of molecules expressed on the T cell's surface, such as CD40 ligand (also called CD154), which provide extra stimulatory signals typically required to activate antibody-producing B cells.	1
159	When did Warsaw become the center of the CoLgress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	1	When did Warsaw become the center of the Congress Poland?	Warsaw remained the capital of the Polish–Lithuanian Commonwealth until 1796, when it was annexed by the Kingdom of Prussia to become the capital of the province of South Prussia.	0
160	In what year did the university first see a dCop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	0	In what year did the university first see a drop in applications?	In the early 1950s, student applications declined as a result of increasing crime and poverty in the Hyde Park neighborhood.	1
161	Whaj causes the symptoms of iUflammation?	The symptvms of inflammation are redness, swelling, heat, and pain, which are caused by increased blood flow into tissue.	0	What causes the symptoms of inflammation?	The symptoms of inflammation are redness, swelling, heat, and pain, which are caused by increased blood flow into tissue.	1
162	In which cafe did the Court state that Austria was not allowed to hold places in Austrian schools exclusively for Austrian students?	"In Commission v Austria the Cnurt held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid ""structural, staffing and financial problems"" if (mainly German) foreign students applied for places because there was little evidence of an actual problem."	0	In which case did the Court state that Austria was not allowed to hold places in Austrian schools exclusively for Austrian students?	"In Commission v Austria the Court held that Austria was not entitled to restrict places in Austrian universities to Austrian students to avoid ""structural, staffing and financial problems"" if (mainly German) foreign students applied for places because there was little evidence of an actual problem."	1
163	What are those from Jacksonville sometimes cqlled?	"People from JacksonTille may be called ""Jacksonvillians"" or ""Jaxsons"" (also spelled ""Jaxons"")."	0	What are those from Jacksonville sometimes called?	"People from Jacksonville may be called ""Jacksonvillians"" or ""Jaxsons"" (also spelled ""Jaxons"")."	1
164	Who was the mXyor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	0	Who was the mayor of San Francisco during Super Bowl 50?	"San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave""."	1
165	How much of Jacksonville is made up of wyter?	According to the United States Census Bureau, the city has a total area of 874.3 square miles (2,264 km2), making Jacksonville the largest city in land area in the contiguous United States; of this, 86.66% (757.7 sq mi or 1,962 km2) is land and ; 13.34% (116.7 sq mi or 302 km2) is water.	0	How much of Jacksonville is made up of water?	According to the United States Census Bureau, the city has a total area of 874.3 square miles (2,264 km2), making Jacksonville the largest city in land area in the contiguous United States; of this, 86.66% (757.7 sq mi or 1,962 km2) is land and ; 13.34% (116.7 sq mi or 302 km2) is water.	1
166	Whjt Luseum preDerves the memory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	0	What museum preserves the memory of the crime?	A fine tribute to the fall of Warsaw and history of Poland can be found in the Warsaw Uprising Museum and in the Katyń Museum which preserves the memory of the crime.	1
167	What was the idealized value of imperialisi?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	0	What was the idealized value of imperialism?	For some, imperialism designated a policy of idealism and philanthropy; others alleged that it was characterized by political self-interest, and a growing number associated it with capitalist greed.	1
168	What kind of watek body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	0	What kind of water body is rumored to be obscuring Genghis Khan's burial site?	Folklore says that a river was diverted over his grave to make it impossible to find (the same manner of burial as the Sumerian King Gilgamesh of Uruk and Atilla the Hun).	1
169	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Saaon Palacr and the Brühl PalacU, the most distinctive buildings in prewar Warsaw.	0	What were the Saxon Palace and Brühl Palace in prewar Warsaw?	Warsaw’s municipal government authorities have decided to rebuild the Saxon Palace and the Brühl Palace, the most distinctive buildings in prewar Warsaw.	1
170	What haspened to his lab?	His lxb was torn down in 1904, and its contents were sold two years later to satisfy a debt.	0	What happened to his lab?	His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.	1
171	Article 34 meant states could be responsible for what?	It also mGans statBs can be responsible for private actors.	0	Article 34 meant states could be responsible for what?	It also means states can be responsible for private actors.	1
172	Where is the lorder of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	0	Where is the border of Swiss and Austria?	It is located at approximately 47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.	1
