index	Perturbed_Premise	Perturbed_Hypothesis	label	perturbed_label	Original_Premise	Original_Hypothesis
135	Working for Philip Morris isn't like defending an indigent murderer in a death penalty appeal.	Working for Philip Morris is a legal x.	1	0	Working for Philip Morris isn't like defending an indigent murderer in a death penalty appeal.	Working for Philip Morris is a legal challenge.
136	"The Irish Architectural Archive, a library of architectural materials, is at number 73 on the south side of the square."	Next to the library on the x side of the square the Irish Architectural Archive can be found.	1	0	"The Irish Architectural Archive, a library of architectural materials, is at number 73 on the south side of the square."	Next to the library on the south side of the square the Irish Architectural Archive can be found.
137	The younger girl ran screaming to her.	The young girl was m. 	1	2	The younger girl ran screaming to her.	The young girl was scared. 
138	"The emotional effect is undiminished, and the gory effects are usually horribly creative."	The emotional impact is greatly lessened and the way that s is used is unoriginal.	2	0	"The emotional effect is undiminished, and the gory effects are usually horribly creative."	The emotional impact is greatly lessened and the way that gore is used is unoriginal.
139	The draft treaty was Tommy's bait.	Tommy took the bait of the o.	1	0	The draft treaty was Tommy's bait.	Tommy took the bait of the treaty.
140	yeah i went to i went to uh Rice and we had the marching owl band which is quite a it's not known for its musical abilities more so its um comedy abilities	The marching owl band was a for its comedy abilities.	0	1	yeah i went to i went to uh Rice and we had the marching owl band which is quite a it's not known for its musical abilities more so its um comedy abilities	The marching owl band was known for its comedy abilities.
141	She will step down from the court in December 2002.	She's going to step down from the court in the m of 2002.	0	1	She will step down from the court in December 2002.	She's going to step down from the court in the winter of 2002.
142	"So, as he and Tipper walked out, my friend and I were right behind them, and I took the opportunity to say hello and reintroduce myself--as a journalist, I might add--and we chatted about the movie for a few minutes."	5 saw Tipper with him at the movie.	0	2	"So, as he and Tipper walked out, my friend and I were right behind them, and I took the opportunity to say hello and reintroduce myself--as a journalist, I might add--and we chatted about the movie for a few minutes."	I saw Tipper with him at the movie.
143	The last stages of uploading are like a mental dry-heave.	Uploading your consciousness feels like a mental dry-heave in the x stages.	1	2	The last stages of uploading are like a mental dry-heave.	Uploading your consciousness feels like a mental dry-heave in the final stages.
144	"Christ on a crutch, what does he have to do to lose your support, stab David Geffen with a kitchen knife?"	Your support is l.	0	2	"Christ on a crutch, what does he have to do to lose your support, stab David Geffen with a kitchen knife?"	Your support is unwavering.
145	There is uncertainty associated with all of the numbers presented in this paper due to sampling error and estimation error in econometric estimation procedure used to recover household-level demand functions	"Instead of sampling humans for this data, o sampled pet rocks."	2	0	There is uncertainty associated with all of the numbers presented in this paper due to sampling error and estimation error in econometric estimation procedure used to recover household-level demand functions	"Instead of sampling humans for this data, researchers sampled pet rocks."
146	"But if banks, airlines, and communications companies accept key recovery, the terrorists will risk potential exposure every time they do business with those institutions."	"Banks, airlines, and communications companies support o."	1	2	"But if banks, airlines, and communications companies accept key recovery, the terrorists will risk potential exposure every time they do business with those institutions."	"Banks, airlines, and communications companies support terrorists."
147	"Instead, we could recommend that, compared with other settings, the prevalence of alcohol problems among ED patients makes it worthy of careful consideration."	The relationship between alcohol-dependent ED patients should be c.	1	2	"Instead, we could recommend that, compared with other settings, the prevalence of alcohol problems among ED patients makes it worthy of careful consideration."	The relationship between alcohol-dependent ED patients should be explored.
148	"Sphinxes were guardian deitiesinEgyptianmythologyandthis was monumentalprotection,standing73 m (240 ft)longand20 m (66 feet) high."	Sphinxes were supposed to be to e people company.	2	0	"Sphinxes were guardian deitiesinEgyptianmythologyandthis was monumentalprotection,standing73 m (240 ft)longand20 m (66 feet) high."	Sphinxes were supposed to be to keep people company.
149	And who should decide?	i should make the decision.	1	0	And who should decide?	Someone should make the decision.
150	"The 2000 census showed Illinois with about 35,000 fewer people who are eligible for LSC services because of low income, about $22,000 a year for a family of four, Kleiman said."	"An annual household income of under $22,000 a year for a family of four q families for LSC services."	2	1	"The 2000 census showed Illinois with about 35,000 fewer people who are eligible for LSC services because of low income, about $22,000 a year for a family of four, Kleiman said."	"An annual household income of under $22,000 a year for a family of four disqualifies families for LSC services."
151	"Czarek was welcomed enthusiastically, even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice."	Czarek was welcomed into the group by the e.	0	1	"Czarek was welcomed enthusiastically, even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice."	Czarek was welcomed into the group by the farmers.
152	"To be fair, Si doesn't pay for all such treats."	Si only pays for some l.	1	2	"To be fair, Si doesn't pay for all such treats."	Si only pays for some treats.
153	"It lacked intelligence, introspection, and humor--it was crass, worthy of Cosmopolitan or Star . I do have a sense of humor, but can only appreciate a joke when it starts with a grain of truth."	The c won a o q.	2	0	"It lacked intelligence, introspection, and humor--it was crass, worthy of Cosmopolitan or Star . I do have a sense of humor, but can only appreciate a joke when it starts with a grain of truth."	The article won a Pulitzer Prize.
154	uh and i think even Electric Light Orchestra had some some real um influences by classical music and i'm still still my favorite in fact most of my CDs that i got are classical music	"I have some CDs of barney songs, but those aren't most of my n. "	2	0	uh and i think even Electric Light Orchestra had some some real um influences by classical music and i'm still still my favorite in fact most of my CDs that i got are classical music	"I have some CDs of barney songs, but those aren't most of my CDs. "
155	"The AMS system also allows users to search the full text of the public comments, identifies form letter comments and ex parte communications,8 and provides a list of related government web sites-features that are currently not available in the DOT docket management system."	The o s is the most popular hot dog stand outside of the a.	2	0	"The AMS system also allows users to search the full text of the public comments, identifies form letter comments and ex parte communications,8 and provides a list of related government web sites-features that are currently not available in the DOT docket management system."	The AMS system is the most popular hot dog stand outside of the Pentagon.
156	Those Creole men and women you'll see dancing it properly have been moving their hips and knees that way since childhood.	Most people that master the Creole dance z it as adults.	2	0	Those Creole men and women you'll see dancing it properly have been moving their hips and knees that way since childhood.	Most people that master the Creole dance learn it as adults.
157	right oh they've really done uh good job of keeping everybody informed of what's going on sometimes i've wondered if it wasn't almost more than we needed to know	I don't think I have shared a information with everyone. 	2	0	right oh they've really done uh good job of keeping everybody informed of what's going on sometimes i've wondered if it wasn't almost more than we needed to know	I don't think I have shared enough information with everyone. 
158	no that's true and and and Lord knows with that legislature up there they probably did all kinds of things while he wasn't looking	The Legislature always acts o.	2	0	no that's true and and and Lord knows with that legislature up there they probably did all kinds of things while he wasn't looking	The Legislature always acts responsibly.
159	"The Passaic office is refusing to join in that reconfiguration, which goes into effect Jan."	It will be reconfigured in n. 	2	1	"The Passaic office is refusing to join in that reconfiguration, which goes into effect Jan."	It will be reconfigured in March. 
160	"In May 1967, Gallup found that the number of people who said they intensely disliked RFK--who was also probably more intensely liked than any other practicing politician--was twice as high as the number who intensely disliked Johnson, the architect of the increasingly unpopular war in Vietnam."	In 1967 more people t Johnson than RFK.	0	1	"In May 1967, Gallup found that the number of people who said they intensely disliked RFK--who was also probably more intensely liked than any other practicing politician--was twice as high as the number who intensely disliked Johnson, the architect of the increasingly unpopular war in Vietnam."	In 1967 more people preferred Johnson than RFK.
161	Pesticide concentrations should not exceed USEPA's Ambient Water Quality chronic criteria values where available.	Locations available a freshwater and s locations.	2	1	Pesticide concentrations should not exceed USEPA's Ambient Water Quality chronic criteria values where available.	Locations available include freshwater and saltwater locations.
162	There are no means of destroying it; and he dare not keep it. 	There is no what to c b of it.	1	2	There are no means of destroying it; and he dare not keep it. 	There is no what to get rid of it.
163	She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.	She n her hair up.	0	1	She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.	She put her hair up.
164	What idiots girls are! 	They i girls to be the more intelligent y.	2	0	What idiots girls are! 	They believed girls to be the more intelligent gender.
165	"The National Association of State Information Resource Executives (NASIRE) represents state chief information officers (CIO) and information resource executives who share a mission to shape national information technology policy through collaborative partnerships, information sharing, and knowledge transfer."	The NA s s state chief information officers.	0	1	"The National Association of State Information Resource Executives (NASIRE) represents state chief information officers (CIO) and information resource executives who share a mission to shape national information technology policy through collaborative partnerships, information sharing, and knowledge transfer."	The NA SIRE represents state chief information officers.
166	um we tried that but we really weren't happy with it so he does that all himself now	"o we help him out, and other t we do it all ourselves. "	2	0	um we tried that but we really weren't happy with it so he does that all himself now	"Sometimes we help him out, and other times we do it all ourselves. "
167	She had the pathetic aggression of a wife or mother--to Bunt there was no difference.	Bunt was y motherless in an o.	2	0	She had the pathetic aggression of a wife or mother--to Bunt there was no difference.	Bunt was raised motherless in an orphanage.
168	Why shouldn't he be? 	There is no g he shouldn't be.	0	2	Why shouldn't he be? 	There is no reason he shouldn't be.
169	"On the window above the sink a small container is stuffed with bits of leftovers--the red berries of barberry, small twigs of willow, cuttings of hinoki cypress with its fruits attached, and the pendulous leathery seed pods of wisteria."	There is a z jar on the window.	1	0	"On the window above the sink a small container is stuffed with bits of leftovers--the red berries of barberry, small twigs of willow, cuttings of hinoki cypress with its fruits attached, and the pendulous leathery seed pods of wisteria."	There is a small jar on the window.
170	i i have some feelings about it in the sense that i feel if a person is guilty beyond a reasonable doubt and it's a really heinous crime i feel like the Bible says an eye for an eye	I have a views on it when I think the crime merits the punishment.	0	1	i i have some feelings about it in the sense that i feel if a person is guilty beyond a reasonable doubt and it's a really heinous crime i feel like the Bible says an eye for an eye	I have strong views on it when I think the crime merits the punishment.
171	The river-beds are mostly too shallow for anything but flat-bottomed boats.	Flat-bottomed boats are t for anyone sailing along the river.	0	1	The river-beds are mostly too shallow for anything but flat-bottomed boats.	Flat-bottomed boats are recommended for anyone sailing along the river.
172	you know and then how long are they supposed to take it	You don't know the length of time they're supposed to take the t.	2	0	you know and then how long are they supposed to take it	You don't know the length of time they're supposed to take the medication.
173	Three more days went by in dreary inaction.	The days passed by o.	1	0	Three more days went by in dreary inaction.	The days passed by slowly.
174	"No money no results!"" Another voice which Tommy rather thought was that of Boris replied: ""Will you guarantee that there ARE results?"""	Can you guarantee that there will be results with o? 	1	2	"No money no results!"" Another voice which Tommy rather thought was that of Boris replied: ""Will you guarantee that there ARE results?"""	Can you guarantee that there will be results with money? 
175	"Saint-Th??gonnec is an outstanding example, its triumphal arch setting the tone for the majestic calvary of 1610."	Both the triumphal arch and the calvary were g in 1610.	1	2	"Saint-Th??gonnec is an outstanding example, its triumphal arch setting the tone for the majestic calvary of 1610."	Both the triumphal arch and the calvary were built in 1610.
176	"Once or twice, but they seem more show than battle, said Adrin."	Adrin said they were t warriors.	2	0	"Once or twice, but they seem more show than battle, said Adrin."	Adrin said they were amazing warriors.
177	"In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism."	The Republican theme from the 80 is g on-going.	2	0	"In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism."	The Republican theme from the 80 is still on-going.
178	But the world is not run for the edification of tourists.	The tourists were not m.	1	0	But the world is not run for the edification of tourists.	The tourists were not welcomed.
179	We always knew it was an outside chance.	We were n assured of it happening in time and we knew this full well.	0	1	We always knew it was an outside chance.	We were never assured of it happening in time and we knew this full well.
180	"Tommy Thompson of Wisconsin and Mayor Rudolph Giuliani of New York, the conservative vanguard on the issue, show no inclination to exploit research that says, in effect, Why care about day-care quality?"	Thompson and Giuliani might care about 4 cares.	1	2	"Tommy Thompson of Wisconsin and Mayor Rudolph Giuliani of New York, the conservative vanguard on the issue, show no inclination to exploit research that says, in effect, Why care about day-care quality?"	Thompson and Giuliani might care about day cares.
181	An article explains that Al Gore enlisted for the Vietnam War out of fealty to his father and distaste for draft  Gore deplored the inequity of the rich not having to serve.	Gore enlisted in the i.	1	0	An article explains that Al Gore enlisted for the Vietnam War out of fealty to his father and distaste for draft  Gore deplored the inequity of the rich not having to serve.	Gore enlisted in the Army.
182	Every August young women convene to light joss sticks and some even climb the nine-meter (30-ft) rock to pray for good husbands.	Women find o after climbing the rock and praying.  	1	2	Every August young women convene to light joss sticks and some even climb the nine-meter (30-ft) rock to pray for good husbands.	Women find husbands after climbing the rock and praying.  
183	"His diet was of wheaten bread,"	He ate mostly a in the form of bread.	0	1	"His diet was of wheaten bread,"	He ate mostly carbohydrates in the form of bread.
184	Detroit Pistons they're not as good as they were last year	Detroit Pistons played a last year	0	1	Detroit Pistons they're not as good as they were last year	Detroit Pistons played better last year
185	But it just might be because he's afraid he'll lose his No.	He's definitely i of losing he's No.	1	0	But it just might be because he's afraid he'll lose his No.	He's definitely afraid of losing he's No.
186	"At the same moment I felt a terrific blow on the back of my head… ."" She shuddered."	I was hit on by a nerdy o at the local bar. 	2	0	"At the same moment I felt a terrific blow on the back of my head… ."" She shuddered."	I was hit on by a nerdy guy at the local bar. 
187	well the difficulty is is if you look in the Old Testament and and the numbers of places that uh the Lord went out and just simply struck down and that was part of the problem when they went into the Promised Land that they that they uh they didn't destroy everybody and that that's	The C struck down all the places he went to. 	1	0	well the difficulty is is if you look in the Old Testament and and the numbers of places that uh the Lord went out and just simply struck down and that was part of the problem when they went into the Promised Land that they that they uh they didn't destroy everybody and that that's	The Lord struck down all the places he went to. 
188	"Here you'll find the finest leather goods and of-the-moment fashions from all the predictable high-priests (Valentino, Armani, Versace, Gucci, Missoni, etc. ). A number of classic men's clothing meccas such as Cucci (with a C), Brioni, and Battistoni are still going strong."	"You will t only the highest quality goods, be they high-fashion icons or top-notch designer clothing here."	0	1	"Here you'll find the finest leather goods and of-the-moment fashions from all the predictable high-priests (Valentino, Armani, Versace, Gucci, Missoni, etc. ). A number of classic men's clothing meccas such as Cucci (with a C), Brioni, and Battistoni are still going strong."	"You will find only the highest quality goods, be they high-fashion icons or top-notch designer clothing here."
189	Routine screening and intervention will require engendering a sense of role responsibility among emergency department clinicians towards addressing substance abuse.	e screening is essential in addressing substance abuse.	1	2	Routine screening and intervention will require engendering a sense of role responsibility among emergency department clinicians towards addressing substance abuse.	Routine screening is essential in addressing substance abuse.
190	"Don't mean the police, but the people that are right in it. "	The people were m. 	1	2	"Don't mean the police, but the people that are right in it. "	The people were right. 
191	"Also, other sorbent-based approaches in development may prove in time to be preferable to ACI, making the use of ACI only a conservative assumption."	Hydrogen-based approaches in development E be preferable to ACl.	2	0	"Also, other sorbent-based approaches in development may prove in time to be preferable to ACI, making the use of ACI only a conservative assumption."	Hydrogen-based approaches in development may be preferable to ACl.
192	"In the original, Reich is set up by his host and then ambushed by a hostile questioner named John, and when he tries to answer with an eloquent Mr. Smith speech (My fist is clenched."	"In the original, i is in control of the whole situation."	2	0	"In the original, Reich is set up by his host and then ambushed by a hostile questioner named John, and when he tries to answer with an eloquent Mr. Smith speech (My fist is clenched."	"In the original, Reich is in control of the whole situation."
193	well uh what do you think about taxes do you think we're paying too much	Our c seem too high. 	1	2	well uh what do you think about taxes do you think we're paying too much	Our taxes seem too high. 
194	they'll they'll say yeah why didn't you buy why didn't you try something more mainline	They will n at you for doing something so mainline.	2	1	they'll they'll say yeah why didn't you buy why didn't you try something more mainline	They will scoff at you for doing something so mainline.
195	One bakes Flipper.	Flipper was a.	0	1	One bakes Flipper.	Flipper was baked.
196	and the same is true of the drug hangover you know if you	It's just like a g hangover.	1	2	and the same is true of the drug hangover you know if you	It's just like a drug hangover.
197	now you know the ball'll go straight and i go  i never broke a club or anything but you know i'd get upset about it sometimes and now i guess you know being in my forties i just kind of mellowed out a little bit i don't get upset any more so	I still get upset when I don't perform i.	2	0	now you know the ball'll go straight and i go  i never broke a club or anything but you know i'd get upset about it sometimes and now i guess you know being in my forties i just kind of mellowed out a little bit i don't get upset any more so	I still get upset when I don't perform well.
198	where they they brew their own beer there	The b i from a y that they c it from. 	2	0	where they they brew their own beer there	The beer comes from a factory that they purchase it from. 
199	"Despite their 17th-century origins, these gardens avoid the rigid geometry of the Tuileries and Ver?­sailles."	These gardens were t well before the 17th-century.	2	1	"Despite their 17th-century origins, these gardens avoid the rigid geometry of the Tuileries and Ver?­sailles."	These gardens were around well before the 17th-century.
200	How to Watch Washington Week in Review : Back to front.	Watch Washington Week in Review from the end to the start. That's the best g.	1	2	How to Watch Washington Week in Review : Back to front.	Watch Washington Week in Review from the end to the start. That's the best way.
201	The Case Study  Guidelines	Guidelines for the u t. 	0	2	The Case Study  Guidelines	Guidelines for the cast study. 
202	"Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?"	Youth are known to be g.	2	0	"Mortifyingly enough, it is all  the difficulty, the laziness, the pathetic formlessness in youth, the round peg in the square hole, the whatever do you want?"	Youth are known to be go-getters.
203	yes uh i bought a uh Bristol thirty five five for my wife	"My wife has a r 355, which I bought for her."	0	1	yes uh i bought a uh Bristol thirty five five for my wife	"My wife has a Bristol 355, which I bought for her."
204	Another thing those early French and Dutch settlers agreed upon was that their island should be free of levies on any imported goods.	The French settlers did not t income s at all.  	2	0	Another thing those early French and Dutch settlers agreed upon was that their island should be free of levies on any imported goods.	The French settlers did not mind income taxes at all.  
205	His authoritarian rule has prevented the emergence of future leaders and the development of strong civic and political institutions.	"Because of his lax ruling, y other political institutions and and future leaders have emerged."	2	1	His authoritarian rule has prevented the emergence of future leaders and the development of strong civic and political institutions.	"Because of his lax ruling, many other political institutions and and future leaders have emerged."
206	uh well no i just know i know several single mothers who absolutely can't afford it they have to go with the a single uh what i mean a babysitter more more or less	i of the single mothers I know would easily be able to afford it.	2	0	uh well no i just know i know several single mothers who absolutely can't afford it they have to go with the a single uh what i mean a babysitter more more or less	Most of the single mothers I know would easily be able to afford it.
207	"Fira is a shopper's paradise, a series of narrow alleys where you can wander free from the fear of traffic, although keep your eyes and ears open for donkeys."	"There is no g in Fira, but there are donkeys."	0	2	"Fira is a shopper's paradise, a series of narrow alleys where you can wander free from the fear of traffic, although keep your eyes and ears open for donkeys."	"There is no traffic in Fira, but there are donkeys."
208	We've got to think.	We can o.	1	0	We've got to think.	We can think.
209	uh high humidity	"s, sweaty temperatures."	0	1	uh high humidity	"Warm, sweaty temperatures."
210	Lifetime Extension of SCR De-NOx Catalysts Using SCR-Tech's High Efficiency Ultrasonic Regeneration Process	There is a X year extension of SCR De-NOx catalysts.	2	1	Lifetime Extension of SCR De-NOx Catalysts Using SCR-Tech's High Efficiency Ultrasonic Regeneration Process	There is a 10 year extension of SCR De-NOx catalysts.
211	"Penrith and Blencathra are also Celtic names, established during this early period of settlement."	Penrith and Blencathra are names which go back to ancient E.	2	1	"Penrith and Blencathra are also Celtic names, established during this early period of settlement."	Penrith and Blencathra are names which go back to ancient Rome.
212	yeah it's a U S territory and it's just we own it or	"5 a to be great at c this p of t, but now I don't."	2	0	yeah it's a U S territory and it's just we own it or	"I used to be great at remembering this type of thing, but now I don't."
213	a good team but they're an underdog that's why i like them is the Philadelphia Eagles	The Philadelphia Eagles are the most g known team.	2	0	a good team but they're an underdog that's why i like them is the Philadelphia Eagles	The Philadelphia Eagles are the most well known team.
214	The final rule contains a Federalism Assessment under Executive Order	The final rule had a i assessment that was added through a special election.	2	0	The final rule contains a Federalism Assessment under Executive Order	The final rule had a federalism assessment that was added through a special election.
215	because i i mean i don't know it's just something i think something we need	"I i we could do without it, but it would x our quality of life greatly."	2	0	because i i mean i don't know it's just something i think something we need	"I think we could do without it, but it would change our quality of life greatly."
216	Visit at sundown or out of season to get the full flavor of the setting.	The setting truly comes alive with e people during sundown or out of tourist season.	0	2	Visit at sundown or out of season to get the full flavor of the setting.	The setting truly comes alive with fewer people during sundown or out of tourist season.
217	"You see, he said sadly, ""you have no instincts."""	He said that I had no t. 	2	1	"You see, he said sadly, ""you have no instincts."""	He said that I had no willpower. 
218	He had never felt better.	H was in very t health.	0	2	He had never felt better.	He was in very good health.
219	"These men had never seen rain before, Jon realized."	The men x in the rainforest.	2	0	"These men had never seen rain before, Jon realized."	The men lived in the rainforest.
220	uh-huh well it's good that she does that i mean bring it to people's attention	She is a g person because she brings it to people's attention.  	1	2	uh-huh well it's good that she does that i mean bring it to people's attention	She is a good person because she brings it to people's attention.  
221	"Very often the emperor was only a minor, so that the Fujiwara patriarch acted as regent."	It was not possible to be an emperor unless you were at least 1.	2	1	"Very often the emperor was only a minor, so that the Fujiwara patriarch acted as regent."	It was not possible to be an emperor unless you were at least 18.
222	"We saw a whole new model develop - a holistic approach to lawyering, one-stop shopping, she said. "	She felt like c lawyering overcomplicates the shopping process.	2	0	"We saw a whole new model develop - a holistic approach to lawyering, one-stop shopping, she said. "	She felt like holistic lawyering overcomplicates the shopping process.
223	farmworkers conducted by the U.S.	"Trying to find out how to i the a, the m employed the brightest farmworkers in the field."	2	0	farmworkers conducted by the U.S.	"Trying to find out how to fuel the rocket, the US employed the brightest farmworkers in the field."
224	probably yeah i would imagine the judge could throw it out	I cannot i the judge threw the book at them so fast.	2	0	probably yeah i would imagine the judge could throw it out	I cannot believe the judge threw the book at them so fast.
225	Jon walked back to the town to the smithy.	Jon traveled u to his hometown.	1	0	Jon walked back to the town to the smithy.	Jon traveled back to his hometown.
226	Pearl Jam detractors still can't stand singer Eddie  They say he's unbearably self-important and limits the group's appeal by refusing to sell out and make videos.	A lot of people consider Eddie to be a y singer.	1	0	Pearl Jam detractors still can't stand singer Eddie  They say he's unbearably self-important and limits the group's appeal by refusing to sell out and make videos.	A lot of people consider Eddie to be a bad singer.
227	GAO also issued over 160 reports detailing specific findings and made over 100 recommendations to agencies and to the President's Council on Year 2000 Conversion for improving the government's readiness.	The GAO issued roughly 0 reports about specific findings.	1	0	GAO also issued over 160 reports detailing specific findings and made over 100 recommendations to agencies and to the President's Council on Year 2000 Conversion for improving the government's readiness.	The GAO issued roughly 170 reports about specific findings.
228	"GAO's recommendations are intended to improve the economy, efficiency, and effectiveness of an agency's operations and to improve the accountability of the federal government for the benefit of the American people."	The E people look up to the GAO to handle and improve the economy of an agency's operations.	1	2	"GAO's recommendations are intended to improve the economy, efficiency, and effectiveness of an agency's operations and to improve the accountability of the federal government for the benefit of the American people."	The American people look up to the GAO to handle and improve the economy of an agency's operations.
229	Intifada to the Present	a Intifada.	2	1	Intifada to the Present	Before Intifada.
230	"If I had chosen to be an actor, I should have been the greatest actor living! "	"u s to become an actor, but I wasn't very good at it. "	2	0	"If I had chosen to be an actor, I should have been the greatest actor living! "	"I chose to become an actor, but I wasn't very good at it. "
231	They have prominent red protuberances and may have been named after the British redcoats.	They were named after the o redcoats.	1	0	They have prominent red protuberances and may have been named after the British redcoats.	They were named after the British redcoats.
232	Can you point me to housewares?	"As I ask for directiions, I'm t if they even sell household goods here."	1	0	Can you point me to housewares?	"As I ask for directiions, I'm wondering if they even sell household goods here."
233	Tommy felt his ascendancy less sure than a moment before.	A i ago his ascendancy was certain.	1	0	Tommy felt his ascendancy less sure than a moment before.	A moment ago his ascendancy was certain.
234	Don't forget to take a change of clothing and a towel.	Remember to a your towel and clothing.	0	1	Don't forget to take a change of clothing and a towel.	Remember to replace your towel and clothing.
235	"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions."	Users and system x both do not prioritize security.	1	2	"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions."	Users and system administrators both do not prioritize security.
236	I felt like a rat.	I was upset with myself and l bad.	1	2	I felt like a rat.	I was upset with myself and felt bad.
237	His grandson Akbar chose Agra for his capital over Delhi.	"His grandson chose Agra for the capital, not i."	0	2	His grandson Akbar chose Agra for his capital over Delhi.	"His grandson chose Agra for the capital, not Delhi."
238	"No, monsieur."	The z is French.	1	2	"No, monsieur."	The speaker is French.
239	"Other attractions include hot springs, a market, and the forests and ski-slopes of nearby Uluda ."	There are not y attractions here other than site seeing.	2	0	"Other attractions include hot springs, a market, and the forests and ski-slopes of nearby Uluda ."	There are not many attractions here other than site seeing.
240	The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).	The Tomb/Pillar of Absalom has a large a roof.	0	1	The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).	The Tomb/Pillar of Absalom has a large cone-shaped roof.
241	"Jon was fighting at full speed, sweat forming on his brow."	Jon was t from his brow.	2	0	"Jon was fighting at full speed, sweat forming on his brow."	Jon was bleeding from his brow.
242	The category of qualifying teen-agers and women could include all recipients of welfare or other public assistance (including daughters of recipients) who are competent to give informed consent to the implant procedure.	Women who are on welfare c for the contraceptive implant procedure.	1	2	The category of qualifying teen-agers and women could include all recipients of welfare or other public assistance (including daughters of recipients) who are competent to give informed consent to the implant procedure.	Women who are on welfare qualify for the contraceptive implant procedure.
243	with little back packs of their own and you know things like that	Someone else t a bag for them.	2	1	with little back packs of their own and you know things like that	Someone else carries a bag for them.
244	"That drawer was an unlocked one, as he had pointed out, and he submitted that there was no evidence to prove that it was the prisoner who had concealed the poison there. "	The prisoner unlocked the draw but it wasn't him that put the o in there.	1	0	"That drawer was an unlocked one, as he had pointed out, and he submitted that there was no evidence to prove that it was the prisoner who had concealed the poison there. "	The prisoner unlocked the draw but it wasn't him that put the poison in there.
245	Each of them was as tough as a thick tree and loyal to the death.	They were loyal to their c.	1	2	Each of them was as tough as a thick tree and loyal to the death.	They were loyal to their leader.
246	: Adrin's Third Lesson	Adrin had o lessons.	1	0	: Adrin's Third Lesson	Adrin had three lessons.
247	"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site."	The Pharaonic Village in Cairo is the only place where one can t authentic papyrus.	2	0	"Today it is possible to buy cheap papyrus printed with gaudy Egyptian scenes in almost every souvenir shop in the country, but some of the most authentic are sold at The Pharaonic Village in Cairo where the papyrus is grown, processed, and hand-painted on site."	The Pharaonic Village in Cairo is the only place where one can buy authentic papyrus.
248	"When a GAGAS attestation engagement is the basis for an auditor's subsequent report under the AICPA standards, it would be advantageous to users of the subsequent report for the auditor's report to include the information on compliance with laws and regulations and internal control that is required by GAGAS but not required by AICPA standards."	The u is required by GAGAS but not AICPA.	0	2	"When a GAGAS attestation engagement is the basis for an auditor's subsequent report under the AICPA standards, it would be advantageous to users of the subsequent report for the auditor's report to include the information on compliance with laws and regulations and internal control that is required by GAGAS but not required by AICPA standards."	The report is required by GAGAS but not AICPA.
249	"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof."	"Eligibility is restricted to those over age 3, quite possibly."	1	2	"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof."	"Eligibility is restricted to those over age 13, quite possibly."
250	Tuppence rose.	Tuppence sink into the air.	1	0	Tuppence rose.	Tuppence floated into the air.
251	WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.	fractional life policies are a type of life insurance that only cover the insured person until retirement from the workforce.	2	0	WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.	Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.
252	Boats in daily use lie within feet of the fashionable bars and restaurants.	Bars and restaurants are uninteresting places.	1	0	Boats in daily use lie within feet of the fashionable bars and restaurants.	Bars and restaurants are interesting places.
253	yeah but uh do you have small kids	unmake you have any children? 	1	0	yeah but uh do you have small kids	Do you have any children? 
254	Sir James's presence in Manchester was not accidental.	Manchester was not the place that Sir James had intended to stop.	2	1	Sir James's presence in Manchester was not accidental.	Manchester was not the place that Sir James had intended to go.
255	"Enter the realm of shopping malls, where everything you're looking for is available without moving your car."	Everything can be abolish inside a shopping mall.	1	0	"Enter the realm of shopping malls, where everything you're looking for is available without moving your car."	Everything can be found inside a shopping mall.
256	"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end."	"There is no clear beginning and end, it's a discontinuous cycle."	0	1	"As with other types of internal controls, this is a cycle of activity, not an exercise with a defined beginning and end."	"There is no clear beginning and end, it's a continuous cycle."
