	Perturbed_Premise	Perturbed_Hypothesis	label	Original_Premise	Original_Hypothesis	true_label	Perturbed_label	attack
196	The Dow Jones industrial average ended the day down 10.89 at 9,837.94 , advancing 111.04 .	The Dow Jones industrial average fell 10.89 points , or 0.11 percent , to 9,837.94 .	1	The Dow Jones industrial average ended the day down 10.89 at 9,837.94 , after advancing 111.04 Wednesday .	The Dow Jones industrial average fell 10.89 points , or 0.11 percent , to 9,837.94 .	0	1	deletion
197	Cortisol levels in the saliva of day care children were highest and rose most steeply in those by day care center personnel to the .	Cortisol levels in the saliva of day-care children were highest and rose most steeply in those whom centre staffed judged to be the shyest .	0	Cortisol levels in the saliva of day care children were highest and rose most steeply in those judged by day care center personnel to be the shyest .	Cortisol levels in the saliva of day-care children were highest and rose most steeply in those whom day-care centre staffed judged to be the shyest .	1	0	deletion
198	The of skin cancer has since the 1950s in Norway and , to the study .	The study also found that skin cancer nearly tripled in Norway and Sweden since the 1950s .	0	The rate of skin cancer has tripled since the 1950s in Norway and Sweden , according to the study .	The study also found that skin cancer nearly tripled in Norway and Sweden since the 1950s .	1	0	deletion
199	"We we saw the existing evidence in a new light , through the prism of our experience on 11 September , "" Rumsfeld said ."	"Rather , the US acted because the administration saw "" existing evidence in a new light , through the prism of our experience on September 11 "" ."	0	"We acted because we saw the existing evidence in a new light , through the prism of our experience on 11 September , "" Rumsfeld said ."	"Rather , the US acted because the administration saw "" existing evidence in a new light , through the prism of our experience on September 11 "" ."	1	0	deletion
200	Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for saturated fat .	Trans fat accounts for 2.5 percent of ' daily calories , compared to 11 percent to 12 percent for saturated fat .	0	Trans fat makes up only 1 percent to 3 percent of the total fat Americans consume , compared with 14 percent for saturated fat .	Trans fat accounts for 2.5 percent of Americans ' daily calories , compared to 11 percent to 12 percent for saturated fat .	1	0	deletion
201	Peterson , 31 , is now charged with in the deaths of his 27-year-old wife and their unborn son .	Peterson , 31 , is with two counts of first-degree murder the slayings of his wife , Laci , and their unborn son , Conner .	0	Peterson , 31 , is now charged with murder in the deaths of his 27-year-old wife and their unborn son .	Peterson , 31 , is charged with two counts of first-degree murder in the slayings of his wife , Laci , and their unborn son , Conner .	1	0	deletion
202	Carlson on Tuesday said he would not recuse himself from the case .	Service officials said Carlson to himself from the case .	0	Carlson on Tuesday said he would not recuse himself from the case .	Service officials said Carlson refused to recuse himself from the case .	1	0	deletion
203	The was to the while in the hospital but was not a health care worker , said Dr. Colin D ’ Cunha , Ontario ’ s commissioner of public health .	The woman was exposed the SARS virus while in the hospital was not a health-care worker , said Dr Colin ' , Ontario 's commissioner of public health .	0	The woman was exposed to the SARS virus while in the hospital but was not a health care worker , said Dr. Colin D ’ Cunha , Ontario ’ s commissioner of public health .	The woman was exposed to the SARS virus while in the hospital but was not a health-care worker , said Dr Colin D 'Cunha , Ontario 's commissioner of public health .	1	0	deletion
204	""" If we don 't march into , I think we will be in pretty good shape , "" he said ."	""" As long as we don 't on Tehran , I think we are going to be in pretty good shape , "" he said ."	0	""" If we don 't march into Tehran , I think we will be in pretty good shape , "" he said ."	""" As long as we don 't march on Tehran , I think we are going to be in pretty good shape , "" he said ."	1	0	deletion
205	last year after being on federal bank fraud charges involving a real estate loan unrelated to Westar business .	Wittig resigned in late November about two after being indicted on bank fraud charges in a real estate case unrelated to the company .	0	Wittig resigned last year after being indicted on federal bank fraud charges involving a real estate loan unrelated to Westar business .	Wittig resigned in late November about two weeks after being indicted on bank fraud charges in a real estate case unrelated to the company .	1	0	deletion
206	"Shattered Glass , "" starring Hayden Christensen as Stephen Glass , debuted well with $ 80,000 in eight theaters ."	""" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist for fabricating stories _ debuted well with $ 80,000 in eight theaters ."	1	"Shattered Glass , "" starring Hayden Christensen as Stephen Glass , debuted well with $ 80,000 in eight theaters ."	""" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist fired for fabricating stories _ debuted well with $ 80,000 in eight theaters ."	0	1	deletion
207	He was Friday night at an Alpharetta seafood restaurant while dining with his wife , singer Whitney Houston .	He was arrested again Friday night at an Alpharetta restaurant where he was having dinner with his .	0	He was arrested Friday night at an Alpharetta seafood restaurant while dining with his wife , singer Whitney Houston .	He was arrested again Friday night at an Alpharetta restaurant where he was having dinner with his wife .	1	0	deletion
208	However , EPA officials not confirm the 20 percent figure .	Only in the past few weeks have officials settled on the 20 percent figure .	1	However , EPA officials would not confirm the 20 percent figure .	Only in the past few weeks have officials settled on the 20 percent figure .	0	1	deletion
209	to between US $ 100 and US $ 150 that will establish connections between consumer electronics devices and .	The first products will likely be dongles costing $ to $ 150 that will establish connections between consumer electronics devices .	0	The first products are likely to be dongles costing between US $ 100 and US $ 150 that will establish connections between consumer electronics devices and PCs .	The first products will likely be dongles costing $ 100 to $ 150 that will establish connections between consumer electronics devices and PCs .	1	0	deletion
210	Michel , who remains the government , denied that US pressure had provoked the government 's move .	 , has stayed in the new government , denied that it was U.S. pressure which had provoked the government 's move .	0	Michel , who remains in the government , denied that US pressure had provoked the government 's move .	Michel , who has stayed in the new government , denied that it was U.S. pressure which had provoked the government 's move .	1	0	deletion
211	Later this year , the command will with from four North African nations on patrolling and intelligence gathering missions .	This the command will send trainers to work with soldiers from four North African nations on patrolling and gathering intelligence .	0	Later this year , the command will send trainers with soldiers from four North African nations on patrolling and intelligence gathering missions .	This fall the command will send trainers to work with soldiers from four North African nations on patrolling and gathering intelligence .	1	0	deletion
212	The reports overcome investor jitters after the euro briefly hit an all-time high against the dollar Tuesday .	Stocks slipped at the open after the euro hit record highs against the dollar .	1	The reports helped overcome investor jitters after the euro briefly hit an all-time high against the dollar Tuesday .	Stocks slipped at the open after the euro hit record highs against the dollar .	0	1	deletion
213	Sales for the quarter beat , rising 37 percent year-on-year to 1.76 billion euros .	Sales rose 37 per cent year-on-year to 1.76bn , beating expectations .	0	Sales for the quarter beat expectations , rising 37 percent year-on-year to 1.76 billion euros .	Sales rose 37 per cent year-on-year to 1.76bn , beating expectations .	1	0	deletion
214	If the 's appeal a higher court is successful , the $ 2 bus and subway base fare won 't be rolled back .	If the MTA 's is , the $ 2 bus and subway base fare won 't .	0	If the MTA 's appeal to a higher court is successful , the $ 2 bus and subway base fare won 't be rolled back .	If the MTA 's appeal is successful , the $ 2 bus and subway base fare won 't change .	1	0	deletion
215	""" I don 't know if the person I 'm talking to now end up being someone at another time that may not follow the rules , "" Parrish said ."	""" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said ."	1	""" I don 't know if the person I 'm talking to now may end up being someone else at another time that may not follow the rules , "" Parrish said ."	""" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said ."	0	1	deletion
216	""" I think 's going to be close vote , but I think the grant proposal is going to win , "" said ."	""" I think it 's going to a , I think the grant proposal 's going to win , "" said Sen. Mitch McConnell , assistant majority leader ."	0	""" I think it 's going to be a close vote , but I think the grant proposal is going to win , "" McConnell said ."	""" I think it 's going to be a close vote , but I think the grant proposal 's going to win , "" said Sen. Mitch McConnell , assistant majority leader ."	1	0	deletion
217	Twenty-eight people were believed to have been spending Christmas Day with the caretaker of the St Sophia 's camp , when the mudslide smashed into two cabins .	Twenty-seven people were believed to have been spending Christmas Day with the caretaker of Saint Sophia Camp , a Greek Orthodox facility , the roared through .	0	Twenty-eight people were believed to have been spending Christmas Day with the caretaker of the St Sophia 's camp , when the mudslide smashed into two cabins .	Twenty-seven people were believed to have been spending Christmas Day with the caretaker of Saint Sophia Camp , a Greek Orthodox facility , when the mudslide roared through .	1	0	deletion
218	It 's the first such drill the September 11 terrorist attacks on New York and Washington .	It is the nation 's first large-scale counterterrorism exercise since the Sept . 11 terrorist attacks .	0	It 's the first such drill since the September 11 terrorist attacks on New York and Washington .	It is the nation 's first large-scale counterterrorism exercise since the Sept . 11 terrorist attacks .	1	0	deletion
219	Myanmar 's pro-democracy leader Aung San Suu Kyi will return home late but will remain in after recovering from surgery at a Yangon hospital , her personal physician said .	Myanmar 's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery , her personal physician said Friday .	0	Myanmar 's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital , her personal physician said .	Myanmar 's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery , her personal physician said Friday .	1	0	deletion
220	In an unusual move , the U.S. Patent and Trademark Office is a patent Internet that critics contend could disrupt millions of Web sites .	In an unusual move that critics contend could disrupt millions of Web sites , the U.S. Patent and Trademark Office is reconsidering a affecting Internet pages .	0	In an unusual move , the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages that critics contend could disrupt millions of Web sites .	In an unusual move that critics contend could disrupt millions of Web sites , the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages .	1	0	deletion
221	"He : "" For the first time there is an easy and affordable way of making this treasure trove of BBC content available to all . """	""" For the first time , there is an easy and affordable way of making this treasure to , "" Dyke said ."	0	"He said : "" For the first time there is an easy and affordable way of making this treasure trove of BBC content available to all . """	""" For the first time , there is an easy and affordable way of making this treasure trove of BBC content available to all , "" Dyke said ."	1	0	deletion
222	"Three such vigilante-style attacks forced the hacker organizer , who identified himself only as "" Eleonora [ 67 ] , "" to the contest 7 p.m. EST Sunday ."	"Three such vigilante-style attacks forced the hacker organiser , who identified himself only as "" Eleonora67 ] , "" to extend the until 8am ( AEST ) today ."	0	"Three such vigilante-style attacks forced the hacker organizer , who identified himself only as "" Eleonora [ 67 ] , "" to extend the contest until 7 p.m. EST Sunday ."	"Three such vigilante-style attacks forced the hacker organiser , who identified himself only as "" Eleonora67 ] , "" to extend the contest until 8am ( AEST ) today ."	1	0	deletion
223	Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities .	struck out two in a perfect ninth inning for his 23rd save .	0	Eric Gagne pitched a perfect ninth for his 23rd save in as many opportunities .	Gagne struck out two in a perfect ninth inning for his 23rd save .	1	0	deletion
224	""" Allison just proves you don 't need to wait until August or September to have a disaster , "" said Josh Lichter , a meteorologist with the Houston-Galveston office ."	""" you don 't need to wait until August or September to have a disaster , "" said ."	0	""" Allison just proves you don 't need to wait until August or September to have a disaster , "" said Josh Lichter , a meteorologist with the Houston-Galveston weather office ."	""" Allison just proves you don 't need to wait until August or September to have a disaster , "" Lichter said ."	1	0	deletion
225	Chiron already has nearly 20 percent from PowderJect 's shareholders .	has acceptances from holders of nearly 20 percent of PowderJect shares .	0	Chiron already has nearly 20 percent acceptances from PowderJect 's shareholders .	Chiron has acceptances from holders of nearly 20 percent of PowderJect shares .	1	0	deletion
226	Ernst & has denied to fight the allegations .	" & has denied the ' , "" "" ."	1	Ernst & Young has denied any wrongdoing and plans to fight the allegations .	"Ernst & Young has denied the SEC 's claims , and called its recommendations "" irresponsible "" ."	0	1	deletion
227	company employee has an individual target letter at this time .	"She said no official had received "" an individual target letter at this time . """	0	No company employee has received an individual target letter at this time .	"She said no company official had received "" an individual target letter at this time . """	1	0	deletion
228	"In fiction : Edward P. Jones ( "" The World "" ) and Scott Spencer ( "" A Ship Made of Paper "" ) ."	The fifth nominee for fiction is Scott Spencer , for A Ship Made of Paper .	1	"In fiction : Edward P. Jones ( "" The Known World "" ) and Scott Spencer ( "" A Ship Made of Paper "" ) ."	The fifth nominee for fiction is Scott Spencer , for A Ship Made of Paper .	0	1	deletion
229	Vivace was founded in 1999 has raised over $ 118 million in three rounds of venture financing .	During times technology venture capital , Vivace raised over $ 118 million in three rounds of venture financing .	1	Vivace was founded in 1999 and has raised over $ 118 million in three rounds of venture financing .	During difficult times for technology venture capital , Vivace raised over $ 118 million in three rounds of venture financing .	0	1	deletion
230	The also their before Wednesday 's to file quarterly reports with the Federal Election Commission .	The Democratic candidates also began announcing their fund-raising totals in advance of the deadline today to file quarterly reports with the Federal Election Commission .	0	The Democratic candidates also began announcing their fund-raising totals before Wednesday 's deadline to file quarterly reports with the Federal Election Commission .	The Democratic candidates also began announcing their fund-raising totals in advance of the deadline today to file quarterly reports with the Federal Election Commission .	1	0	deletion
231	The Neighbours star and singer spent yesterday resting at her family home in Sydney and will have more tests today .	Goodrem spent yesterday resting in her family home in Sydney and will have more tests today to determine her .	1	The Neighbours star and singer spent yesterday resting at her family home in Sydney and will have more tests today .	Goodrem spent yesterday resting in her family home in Sydney and will have more tests today to determine her exact treatment .	0	1	deletion
232	Armored Cavalry Regiment 5, unit .	, , assigned to the 2nd , 3rd Armored Cavalry Regiment .	1	The 3 rd Armored Cavalry Regiment is 5,200 strong and the largest combat unit at Fort Carson .	Broomhead , 34 , was assigned to the 2nd Squadron , 3rd Armored Cavalry Regiment .	0	1	deletion
233	""" The of undesirably low remains the predominant concern for the foreseeable future , "" the Fed said in a statement accompanying the unanimous decision ."	""" The risk of inflation becoming undesirably low the predominant concern for the foreseeable future , "" the policy-setting Federal Open Market Committee said ."	0	""" The risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future , "" the Fed said in a statement accompanying the unanimous decision ."	""" The risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future , "" the policy-setting Federal Open Market Committee said ."	1	0	deletion
234	Bob Richter , a spokesman for House Speaker Tom Craddick , had no comment about the ruling .	Bob Richter , spokesman for Craddick , R-Midland , said the speaker had not seen the ruling could not comment .	1	Bob Richter , a spokesman for House Speaker Tom Craddick , had no comment about the ruling .	Bob Richter , spokesman for Craddick , R-Midland , said the speaker had not seen the ruling and could not comment .	0	1	deletion
235	"But Ms Ward said the headroom under its financial covenants "" "" and that there could be another Southcorp breached any of its banking covenants ."	"But Ms Ward said the headroom under its financial covenants was "" tight "" and that there could be a rating downgrade if Southcorp did breach any banking covenants ."	0	"But Ms Ward said the headroom under its financial covenants was "" tight "" and that there could be another downgrade if Southcorp breached any of its banking covenants ."	"But Ms Ward said the headroom under its financial covenants was "" tight "" and that there could be a rating downgrade if Southcorp did breach any banking covenants ."	1	0	deletion
236	He added : ``I 've never heard of more by a .	The Harrisons ’ lawyer Paul LiCalsi said : “ I ’ ve never heard of more reprehensible behaviour by a doctor .	0	He added : ``I 've never heard of more reprehensiblebehaviour by a doctor .	The Harrisons ’ lawyer Paul LiCalsi said : “ I ’ ve never heard of more reprehensible behaviour by a doctor .	1	0	deletion
237	Broomhead was assigned to 2nd Squadron , 3rd Armor Cavalry Regiment , based at Fort Carson .	, 34 , was assigned to the 2nd Squadron , 3rd Armored Cavalry Regiment .	0	Broomhead was assigned to 2nd Squadron , 3rd Armor Cavalry Regiment , based at Fort Carson .	Broomhead , 34 , was assigned to the 2nd Squadron , 3rd Armored Cavalry Regiment .	1	0	deletion
238	Other staff members , however , defended the document , saying it would policy-makers and the agency improve efforts to address the climate issue .	Some E.P.A. staff members defended the document , saying that although pared down it would still help policy makers and the agency address the climate issue .	0	Other staff members , however , defended the document , saying it would still help policy-makers and the agency improve efforts to address the climate issue .	Some E.P.A. staff members defended the document , saying that although pared down it would still help policy makers and the agency address the climate issue .	1	0	deletion
239	""" He may not have been there , "" said on ."	""" He may not have been there , "" said a defence official on condition of anonymity ."	0	""" He may not have been there , "" the defence official said on Thursday ."	""" He may not have been there , "" said a defence official speaking on condition of anonymity ."	1	0	deletion
240	North American markets grabbed early gains Monday morning , as earnings season begins to slow and economic indicators take the spotlight .	North American futures pointed to a strong to the first trading session of the week Monday , as earnings season slows and economic indicators take the spotlight .	0	North American markets grabbed early gains Monday morning , as earnings season begins to slow and economic indicators take the spotlight .	North American futures pointed to a strong start to the first trading session of the week Monday , as earnings season slows and economic indicators take the spotlight .	1	0	deletion
241	""" This makes sense for , "" National Chief Executive Brian ."	""" This deal makes for both companies , "" Halla said in a prepared statement ."	0	""" This deal makes sense for both companies , "" said National Chief Executive Brian Halla ."	""" This deal makes sense for both companies , "" Halla said in a prepared statement ."	1	0	deletion
242	Morrill 's wife , Ellie , sobbed and hugged Bondeson 's sister-in-law during the service .	At the service Morrill 's widow , Ellie , sobbed and hugged Bondeson 's sister-in-law as people her .	1	Morrill 's wife , Ellie , sobbed and hugged Bondeson 's sister-in-law during the service .	At the service Morrill 's widow , Ellie , sobbed and hugged Bondeson 's sister-in-law as people consoled her .	0	1	deletion
243	Gamarekian told The News she remembers only the woman 's first name - and refused to reveal it .	She told the New York Daily News she remembers only the intern 's first name , which she to .	0	Gamarekian told The News she remembers only the woman 's first name - and refused to reveal it .	She told the New York Daily News she remembers only the intern 's first name , which she refused to reveal .	1	0	deletion
244	A nationally board certified teacher with a master 's degree , Kelley makes a salary of $ 65,000 in his 30th .	A nationally board certified teacher with a master 's degree , , in year teaching , $, .	0	A nationally board certified teacher with a master 's degree , Kelley makes a salary of $ 65,000 in his 30th year .	A nationally board certified teacher with a master 's degree , Kelley , in his 30th year teaching , makes $ 65,000 .	1	0	deletion
245	A man arrested for allegedly threatening to shoot and kill a city councilman from was ordered held on $ 100,000 bail during an early morning appearance Saturday .	The Queens man arrested for allegedly threatening to shoot City Councilman Hiram Monserrate was held on $ 100,000 bail , a spokesman for the Queens district attorney said .	0	A man arrested for allegedly threatening to shoot and kill a city councilman from Queens was ordered held on $ 100,000 bail during an early morning court appearance Saturday .	The Queens man arrested for allegedly threatening to shoot City Councilman Hiram Monserrate was held on $ 100,000 bail Saturday , a spokesman for the Queens district attorney said .	1	0	deletion
246	They were being held Sunday in the Camden County Jail on $ 100,000 bail .	remained in Camden County Jail on on $ 100,000 bail .	0	They were being held Sunday in the Camden County Jail on $ 100,000 bail .	They remained in Camden County Jail on Sunday on $ 100,000 bail .	1	0	deletion
247	Ms Stewart , the chief executive , was expected to .	Ms Stewart , 61 , its chief executive officer and chairwoman , did not attend .	0	Ms Stewart , the chief executive , was not expected to attend .	Ms Stewart , 61 , its chief executive officer and chairwoman , did not attend .	1	0	deletion
248	The Justice Department Aug. 19 gave pre-clearance for the Oct. 7 date for the to recall Gov. Gray Davis , saying it would not affect minority voting rights .	The Justice Department on Aug. 19 sanctioned the Oct. 7 for election , it would not affect voting rights .	0	The Justice Department Aug. 19 gave pre-clearance for the Oct. 7 date for the election to recall Gov. Gray Davis , saying it would not affect minority voting rights .	The Justice Department on Aug. 19 sanctioned the Oct. 7 date for recall election , saying it would not affect voting rights .	1	0	deletion
249	"Lord hailed the changes as "" a new beginning as far as the courts , Crown Prosecution Service and are concerned "" ."	""" It 's a new beginning as far as the courts , Crown Prosecution Service and police are , the criminal justice system . """	1	"Lord Falconer hailed the changes as "" a new beginning as far as the courts , Crown Prosecution Service and police are concerned "" ."	""" It 's a new beginning as far as the courts , Crown Prosecution Service and police are concerned , making the criminal justice system work better . """	0	1	deletion
250	November 17 's last victim was British defence attache Stephen Saunders , who was on an in June 2000 .	November 17 's last victim was British defense attache Stephen Saunders , who was shot and killed at point-blank range on a busy Athens road in June 2000 .	0	November 17 's last victim was British defence attache Stephen Saunders , who was shot on an Athens road in June 2000 .	November 17 's last victim was British defense attache Stephen Saunders , who was shot and killed at point-blank range on a busy Athens road in June 2000 .	1	0	deletion
251	Zulifquar Ali , a worshipper slightly wounded by shrapnel , said the assailants first targeted the mosque 's security guards .	Witness Zulfiqar Ali , who was slightly wounded by shrapnel , said the had focused on the mosque 's .	0	Zulifquar Ali , a worshipper slightly wounded by shrapnel , said the assailants first targeted the mosque 's security guards .	Witness Zulfiqar Ali , who was slightly wounded by shrapnel , said the attackers had focused on the mosque 's guards .	1	0	deletion
252	For the second year in a row , rises in costs accounted for much the inflation , accounting for 51 percent of the overall cost increase .	For the second year in a row , rises in hospital costs dominated the increase , for 51 percent of the overall cost spiral .	0	For the second year in a row , rises in hospital costs accounted for much of the inflation , accounting for 51 percent of the overall cost increase .	For the second year in a row , rises in hospital costs dominated the increase , accounting for 51 percent of the overall cost spiral .	1	0	deletion
253	: coverage for drugs right away ?	 - to insurance coverage for prescription .	1	Q : Can I buy coverage for prescription drugs right away ?	Congress has added a new benefit - an option to buy insurance coverage for prescription drugs .	0	1	deletion
254	The chain operates more than 3,400 stores , and has annual revenue of about $ 15.8 billion .	The chain , which has been under new management since late 1999 , more than 3,400 stores and $ 15.8 billion in annual revenue .	1	The chain operates more than 3,400 stores , and has annual revenue of about $ 15.8 billion .	The chain , which has been under new management since late 1999 , has more than 3,400 stores and $ 15.8 billion in annual revenue .	0	1	deletion
255	July 7 , the software supports the Solaris , IBM AIX , Red Hat Linux and Windows operating systems .	The OpForce product currently works with Solaris , AIX , Red Hat Linux and Windows servers .	1	Available July 7 , the software supports the Solaris , IBM AIX , Red Hat Linux and Windows operating systems .	The OpForce product currently works with Solaris , AIX , Red Hat Linux and Windows servers .	0	1	deletion
256	The WHO experts didn 't say how many cases in Hebei were in areas .	Hebei has reported 191 cases and eight deaths , though the WHO experts did not say how many in rural areas .	1	The WHO experts didn 't say how many cases in Hebei were in rural areas .	Hebei has reported 191 cases and eight deaths , though the WHO experts did not say how many were in rural areas .	0	1	deletion
257	Nearly 300 mutinous troops who seized a Manila shopping and apartment complex demanding the government resign gave up and retreated peacefully after some 19 .	Mutinous troops who seized a Manila shopping and apartment complex demanding the government resign ended a standoff late Sunday and returned to barracks without a shot fired .	0	Nearly 300 mutinous troops who seized a Manila shopping and apartment complex demanding the government resign gave up and retreated peacefully after some 19 hours .	Mutinous troops who seized a Manila shopping and apartment complex demanding the government resign ended a 19-hour standoff late Sunday and returned to barracks without a shot fired .	1	0	deletion
258	In three years , Lend Lease has slipped from a stock , when its share price was around $ 24 , .	In the space of three years , has from a top-five 5 stock when share price hovered around $ 24 to 37th the .	0	In three years , Lend Lease has slipped from a top-five stock , when its share price was around $ 24 , to 37th .	In the space of three years , Lend Lease has slipped from a top-five 5 stock when its share price hovered around $ 24 to 37th on the list .	1	0	deletion
259	"Gibson said last month in a press statement that "" neither I nor my film are ."	Gibson said in a June statement that he and his film are not anti-Semitic .	0	"Gibson said last month in a press statement that "" neither I nor my film are anti-Semitic ."	Gibson said in a June statement that he and his film are not anti-Semitic .	1	0	deletion
260	The Dow Jones industrial average .DJI ended up 64.64 points , or 0.71 percent , at,191.09 , according to the latest available data .	The blue-chip Dow Jones industrial average .DJI added 38 points , or 0.42 percent , to 9,165 .	0	The Dow Jones industrial average .DJI ended up 64.64 points , or 0.71 percent , at 9,191.09 , according to the latest available data .	The blue-chip Dow Jones industrial average .DJI added 38 points , or 0.42 percent , to 9,165 .	1	0	deletion
261	The vote came just two days after Kurds swept City Council elections , taking the largest single block of votes on the 30-seat council .	The for mayor followed City Council elections that gave the largest block of votes on the 30-seat council .	0	The vote came just two days after Kurds swept City Council elections , taking the largest single block of votes on the 30-seat council .	The vote for mayor followed City Council elections that gave Kurds the largest block of votes on the 30-seat council .	1	0	deletion
262	could be heard in the courtroom when the photo was displayed .	Gasps could be heard as the photo was projected onto the screen .	0	Gasps could be heard in the courtroom when the photo was displayed .	Gasps could be heard as the photo was projected onto the screen .	1	0	deletion
263	Sen. Patrick Leahy of Vermont , the committee 's senior Democrat , later said the problem is serious but called Hatch 's suggestion too .	Sen. Patrick Leahy , the committee 's senior Democrat , later said the problem is serious but called Hatch 's idea too drastic a remedy to be considered .	0	Sen. Patrick Leahy of Vermont , the committee 's senior Democrat , later said the problem is serious but called Hatch 's suggestion too drastic .	Sen. Patrick Leahy , the committee 's senior Democrat , later said the problem is serious but called Hatch 's idea too drastic a remedy to be considered .	1	0	deletion
264	The broad Standard & Poor 's 500 < .SPX > eased 0.37 of a point , or 0.03 percent , at 1,121 .	The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,.96 .	0	The broad Standard & Poor 's 500 < .SPX > eased 0.37 of a point , or 0.03 percent , at 1,121 .	The Standard & Poor 's 500 Index < .SPX > slipped 0.26 point , or 0.02 percent , to 1,121.96 .	1	0	deletion
265	Watertown , Saugus and Framingham also are going Monday , joining a number of cities around the country .	Along Boston , Watertown , Saugus and Framingham also are going Monday .	1	Watertown , Saugus and Framingham also are going smoke-free Monday , joining a growing number of cities around the country .	Along with Boston , Watertown , Saugus and Framingham also are going smoke-free Monday .	0	1	deletion
266	But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members the , Hevesi .	MTA officials appropriated the surplus money to later years ' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered , he said .	0	But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike , Hevesi found .	MTA officials appropriated the surplus money to later years ' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered , he said .	1	0	deletion
267	About 10 percent of high school and 16 percent of elementary students be at math .	In math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .	0	About 10 percent of high school and 16 percent of elementary students must be proficient at math .	In math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .	1	0	deletion
268	The legal ruling follows three of intense speculation Hewlett-Packard Co. may be bidding for the company .	The legal ruling follows three days of wild volatility in RIM 's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company .	0	The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company .	The legal ruling follows three days of wild volatility in RIM 's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company .	1	0	deletion
269	""" No matter who becomes the sponsor for stock-car racing 's top series , NASCAR will need an all-star event , "" Wheeler said in a ."	No matter who becomes the sponsor for stock-car racings top series , NASCAR , Wheeler said Tuesday .	0	""" No matter who becomes the sponsor for stock-car racing 's top series , NASCAR will need an all-star event , "" Wheeler said in a statement ."	No matter who becomes the sponsor for stock-car racings top series , NASCAR will need an all-star event , Wheeler said Tuesday .	1	0	deletion
270	He said his hatred for such people grew from these discussions and had helped convince him was the answer .	His hatred for these people had germinated from these discussions and helped cement his belief that violence was the panacea .	0	He said his hatred for such people grew from these discussions and had helped convince him violence was the answer .	His hatred for these people had germinated from these discussions and helped cement his belief that violence was the panacea .	1	0	deletion
271	""" There is no need for one for all to create the ASEAN Economic Community , "" Thaksin said ."	Thus , he said , did not have to one deadline to the economic community .	0	""" There is no need for one deadline for all to create the ASEAN Economic Community , "" Thaksin said ."	Thus , he said , there did not have to one deadline to create the economic community .	1	0	deletion
272	He tried to fight off officers and was taken to a hospital after a police dog bit was later released .	Cruz tried to fight off officers and was hospitalized after a police dog bit him ,. Steve Dixon said .	1	He tried to fight off officers and was taken to a hospital after a police dog bit him but was later released .	Cruz tried to fight off officers and was hospitalized after a police dog bit him , Sgt. Steve Dixon said .	0	1	deletion
273	Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds the yen 's rise the dollar .	Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds amid ever-falling domestic interest rates .	0	Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds amid the yen 's rise against the dollar .	Dealers said the dollar also drew some downside support as Japanese investors are expected to keep snapping up foreign bonds amid ever-falling domestic interest rates .	1	0	deletion
274	Iran has until the end of the month to satisfy the agency it has for nuclear weapons .	The Iranians have until the end of the month to answer all the agency 's questions about their past nuclear activities .	1	Iran has until the end of the month to satisfy the agency it has no plans for nuclear weapons .	The Iranians have until the end of the month to answer all the agency 's questions about their past nuclear activities .	0	1	deletion
275	had to the round the 76th annual Scripps Howard National Spelling Bee .	One by one strolled to the , all youngsters in the 76th Scripps Howard National Spelling Bee .	1	Claire had advanced to the third round of the 76th annual Scripps Howard National Spelling Bee .	One by one they strolled to the microphone , all 251 youngsters in the 76th Scripps Howard National Spelling Bee .	0	1	deletion
