index	sentence	label	Original text	perturbed_label	attack
219	a goregous , wityt , sdeuctive movie . 	1	a gorgeous , witty , seductive movie . 	0	WordSwapNeighboringCharacterSwap
220	it does nt' belieev in itself , it has no snese of humro ... it 's just plain borde . 	0	it does n't believe in itself , it has no sense of humor ... it 's just plain bored . 	1	WordSwapNeighboringCharacterSwap
221	a esquence of ridicuolus shoot - 'em - up scenes . 	0	a sequence of ridiculous shoot - 'em - up scenes . 	1	WordSwapNeighboringCharacterSwap
222	the weight of the piece , the unerring professionalism of the chilly production , and the facsination embedded in the lurid topic prvoe recommendation enough . 	1	the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . 	0	WordSwapNeighboringCharacterSwap
223	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is sohrt on the thrills the voersize medium demnads . 	0	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . 	1	WordSwapNeighboringCharacterSwap
224	as surreal as a dream and as edtailed as a photograph , as visually dexterous as it is at itmes imaginatively overwhemling . 	1	as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 	0	WordSwapNeighboringCharacterSwap
225	escaping the studio , piccoli is wramly affetcing and so is this adroitly minimalist movie . 	1	escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . 	0	WordSwapNeighboringCharacterSwap
226	there 's ... tremnedous eenrgy from the cast , a sense of playfluness and excitement that seems aprpopriate . 	1	there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . 	0	WordSwapNeighboringCharacterSwap
227	this liluminating documentayr transcneds our preconceived vision of the holy land and its inhabitants , revealign the human comlpexities ebneath . 	1	this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . 	0	WordSwapNeighboringCharacterSwap
228	the subtle strength of `` elling '' is that it never lsoes touch with the reality of the grim situation . 	1	the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . 	0	WordSwapNeighboringCharacterSwap
229	holm ... embodies the character with an effortelssly ergal hcarisma . 	1	holm ... embodies the character with an effortlessly regal charisma . 	0	WordSwapNeighboringCharacterSwap
230	the tilte not only describes its main characters , but the lzay people behind the camera as well . 	0	the title not only describes its main characters , but the lazy people behind the camera as well . 	1	WordSwapNeighboringCharacterSwap
231	it offers ltitle beyond the momentary joys of pretty and weightless intellectual entertainment . 	0	it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 	1	WordSwapNeighboringCharacterSwap
232	a sbutle and ewll-crafted ( for the most prat ) chiller . 	1	a subtle and well-crafted ( for the most part ) chiller . 	0	WordSwapNeighboringCharacterSwap
233	for the most prat , director anne-sophie birot 's first feautre is a sensitvie , extraordniarily wel-lacted rdama . 	1	for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . 	0	WordSwapNeighboringCharacterSwap
234	mr. tsai is a very origianl artist in his meidum , and what time is it there ? 	1	mr. tsai is a very original artist in his medium , and what time is it there ? 	0	WordSwapNeighboringCharacterSwap
235	sade is an engagign olok at the controversial eponymous and fiercely atheistic hero . 	1	sade is an engaging look at the controversial eponymous and fiercely atheistic hero . 	0	WordSwapNeighboringCharacterSwap
236	so edvoid of any knid of itnelligible story that it makes films like xxx and collateral damaeg seem like thoughtful treatisse 	0	so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 	1	WordSwapNeighboringCharacterSwap
237	a etnder , heartflet family draam . 	1	a tender , heartfelt family drama . 	0	WordSwapNeighboringCharacterSwap
238	it 's just disappointinlgy superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but nveer does more than scratch the surface . 	0	it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . 	1	WordSwapNeighboringCharacterSwap
239	this is a stroy of two misfits who do n't stand a chance alone , but tgoether they are magnificnet . 	1	this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . 	0	WordSwapNeighboringCharacterSwap
240	the primitive force of this film seems to bubble up from the vats collective memory of the combatants . 	1	the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 	0	WordSwapNeighboringCharacterSwap
241	on this tricky topic , tadpole is very much a stpe in the irght direction , with its blned of frankness , civility and ocmpassion . 	1	on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . 	0	WordSwapNeighboringCharacterSwap
242	the script kicks in , and mr. hartley 's idstended pace and foot-dragging rhythms follow . 	0	the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . 	1	WordSwapNeighboringCharacterSwap
243	if you 're hard up for raunchy college humor , this is your itcket right here . 	1	if you 're hard up for raunchy college humor , this is your ticket right here . 	0	WordSwapNeighboringCharacterSwap
244	good old-fashioned slash-and-hack is bcak ! 	1	good old-fashioned slash-and-hack is back ! 	0	WordSwapNeighboringCharacterSwap
245	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou nveer really builds up a head of emotional steam . 	0	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 	1	WordSwapNeighboringCharacterSwap
246	exquiistely unanced in mood tics and dialogue , this hcamber drama is spuerbly atced by the deeply apepaling veteran bouquet and the chilling but uqite human berling . 	1	exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . 	0	WordSwapNeighboringCharacterSwap
247	sues high coemdy to evoke sruprising poignance . 	1	uses high comedy to evoke surprising poignance . 	0	WordSwapNeighboringCharacterSwap
248	one of creepiest , scariest movies to come along in a long , long tmie , easliy rivaling blair witch or the others . 	1	one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . 	0	WordSwapNeighboringCharacterSwap
249	among the year 's most intriguign exploratiosn of alientation . 	1	among the year 's most intriguing explorations of alientation . 	0	WordSwapNeighboringCharacterSwap
250	the movie afils to live up to the sum of its parts . 	0	the movie fails to live up to the sum of its parts . 	1	WordSwapNeighboringCharacterSwap
251	the son 's room is a trimuph of gentility that aerns its moments of pathos . 	1	the son 's room is a triumph of gentility that earns its moments of pathos . 	0	WordSwapNeighboringCharacterSwap
252	there is nothing outstanding about this film , but it is ogod enough and will likely be appreicated most by sailors and folks who know their way around a submarine . 	1	there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . 	0	WordSwapNeighboringCharacterSwap
253	the draw ( for `` big bad love '' ) is a sloid performance by arliss howard . 	1	the draw ( for `` big bad love '' ) is a solid performance by arliss howard . 	0	WordSwapNeighboringCharacterSwap
254	green might want to hang onto that sik maks , as robbeyr amy be the only wya to pya for his enxt project . 	0	green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . 	1	WordSwapNeighboringCharacterSwap
255	tohugh it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 	1	though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . 	0	WordSwapNeighboringCharacterSwap
256	the band 's courage in the face of official repression is inspirnig , especially for aging hippies ( this one included ) . 	1	the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . 	0	WordSwapNeighboringCharacterSwap
257	the movie ahcieves as great an mipact by keeping these thoughts hidden as ... ( quills ) did by showing them . 	1	the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . 	0	WordSwapNeighboringCharacterSwap
258	jaglom ... put ( s ) the audience in the privlieged position of eavesdropping on his characters 	1	jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters 	0	WordSwapNeighboringCharacterSwap
259	fresnadillo 's dark and ojlting images have a wya of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 	1	fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . 	0	WordSwapNeighboringCharacterSwap
260	we know the plot 's a little crazy , but it hled my inetrest from start to fniish . 	1	we know the plot 's a little crazy , but it held my interest from start to finish . 	0	WordSwapNeighboringCharacterSwap
261	it 's a scattershot affair , but when it hits its mark it 's birlliant . 	1	it 's a scattershot affair , but when it hits its mark it 's brilliant . 	0	WordSwapNeighboringCharacterSwap
262	ahrdly a amsterpiece , but it introducse viewers to a ogod charitable enterprise and some interestign real people . 	1	hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . 	0	WordSwapNeighboringCharacterSwap
263	byler reveasl his characters in a way that intrigues and even fascinates us , and he nveer reduces the situation to simple melodrama . 	1	byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . 	0	WordSwapNeighboringCharacterSwap
264	it 's difficult to imaigne the process that produced such a script , but here 's guessing that psray cehese and underarm noisse played a crucial role . 	0	it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . 	1	WordSwapNeighboringCharacterSwap
265	no sophomore slmup for director sam mendes , who segues from oscar winner to oscar-winning potential with a msooth sleight of hand . 	1	no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . 	0	WordSwapNeighboringCharacterSwap
266	on the whole , the omvie lcaks wit , feeling and believability to compensate for its incessant coarseness and banality . 	0	on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . 	1	WordSwapNeighboringCharacterSwap
267	neither parker nor donovan is a typical romantic lead , but they birng a frehs , quirky cahrm to the formula . 	1	neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . 	0	WordSwapNeighboringCharacterSwap
268	his last movie was poetically romantic and full of indelible images , but his latest has ntohing going for it . 	0	his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . 	1	WordSwapNeighboringCharacterSwap
269	does paint some memorable images ... , but makhmalbaf keeps her ditsance from the characters 	1	does paint some memorable images ... , but makhmalbaf keeps her distance from the characters 	0	WordSwapNeighboringCharacterSwap
270	a grippign movei , played with perfromances that are all undersatted and tuoching . 	1	a gripping movie , played with performances that are all understated and touching . 	0	WordSwapNeighboringCharacterSwap
271	it 's oen of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possibel . 	1	it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . 	0	WordSwapNeighboringCharacterSwap
272	the movie 's relaitvely simple plot and uncomplicated morality play wlel with the affable cast . 	1	the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . 	0	WordSwapNeighboringCharacterSwap
273	what the dircetor ca 'nt do is make eitehr of val kilmer 's two personas interesting or worth carnig about . 	0	what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . 	1	WordSwapNeighboringCharacterSwap
274	it 's graet escapist ufn that recerates a place and tmie that will never happen again . 	1	it 's great escapist fun that recreates a place and time that will never happen again . 	0	WordSwapNeighboringCharacterSwap
275	there is nt' nearly enough fun here , desipte the presence of some appealing ingredients . 	0	there is n't nearly enough fun here , despite the presence of some appealing ingredients . 	1	WordSwapNeighboringCharacterSwap
276	it haunts you , you ca nt' forget it , you admier its conception and are bale to resolve some of the confsuions you had while watching it . 	1	it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . 	0	WordSwapNeighboringCharacterSwap
277	noe of the smartest takes on singles culture i 've esen in a long time . 	1	one of the smartest takes on singles culture i 've seen in a long time . 	0	WordSwapNeighboringCharacterSwap
278	moody , heartbreaking , and filmed in a naturla , unfroced style that makse its characters seem entirely convincign even when its script is not . 	1	moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . 	0	WordSwapNeighboringCharacterSwap
279	wram water under a red bridge is a qiurky and piognant japanese film that explorse the fascinating connections between women , water , nature , and sexuality . 	1	warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . 	0	WordSwapNeighboringCharacterSwap
280	old-form moviemaking at its ebst . 	1	old-form moviemaking at its best . 	0	WordSwapNeighboringCharacterSwap
281	turns potentially forgettable formula into something strangely idverting . 	1	turns potentially forgettable formula into something strangely diverting . 	0	WordSwapNeighboringCharacterSwap
282	( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the awcky talent that brought him fame in the first place . 	1	( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . 	0	WordSwapNeighboringCharacterSwap
283	a omvie that rmeinds us of just how exicting and satsifying the fantasy cinema can be when it 's approacehd with imaginaiton and flari . 	1	a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . 	0	WordSwapNeighboringCharacterSwap
284	in the end , we are lfet with somtehing like two ships passing in the night arther than any insihgts into gya love , cihnese society or the price noe pays for being disohnest . 	0	in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . 	1	WordSwapNeighboringCharacterSwap
285	montias ... upmps a lot of energy into his niceyl nuanced nrarative and surruonds himself with a cast of qiurky -- but not stereotyped -- street characters . 	1	montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . 	0	WordSwapNeighboringCharacterSwap
286	it prvoides the rgand , intelligetn enetrtainment of a usperior csat plaiyng smart people amdi a ocmpelling lpot . 	1	it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . 	0	WordSwapNeighboringCharacterSwap
287	in execution , this clever idea is far lses funny than the original , killers from space . 	0	in execution , this clever idea is far less funny than the original , killers from space . 	1	WordSwapNeighboringCharacterSwap
288	it all drgas on so interminably it 's ilke watching a imserable relationship unfold in real time . 	0	it all drags on so interminably it 's like watching a miserable relationship unfold in real time . 	1	WordSwapNeighboringCharacterSwap
289	pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abiltiies of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	0	pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . 	1	WordSwapNeighboringCharacterSwap
290	looks and feels ilke a project bteter suited for the small screen . 	0	looks and feels like a project better suited for the small screen . 	1	WordSwapNeighboringCharacterSwap
291	that is a comlpiment to kuras and miller . 	1	that is a compliment to kuras and miller . 	0	WordSwapNeighboringCharacterSwap
292	the best that can be said about the work here of scottish director ritchie ... is that he obviously does nt' have his heart in it . 	0	the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . 	1	WordSwapNeighboringCharacterSwap
293	the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enoguh for his second . 	0	the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . 	1	WordSwapNeighboringCharacterSwap
294	the volatile dynamics of female friendship is the subject of this unhurried , low-eky film that is so off-hollywood that it seems posiitvely fernch in its rhythms and resonance . 	1	the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . 	0	WordSwapNeighboringCharacterSwap
295	overlal very ogod for what it 's trying to do . 	1	overall very good for what it 's trying to do . 	0	WordSwapNeighboringCharacterSwap
296	a big , gogreous , sprawling swashbuckler that delivres its diversions in grand , uncomplicated fashion . 	1	a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . 	0	WordSwapNeighboringCharacterSwap
297	a difficult , absobring film that maanges to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . 	1	a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . 	0	WordSwapNeighboringCharacterSwap
298	a sloid examination of the male midlife crisis . 	1	a solid examination of the male midlife crisis . 	0	WordSwapNeighboringCharacterSwap
299	amnages to trasncend the sex , drugs and show-tunes plot into something far richer . 	1	manages to transcend the sex , drugs and show-tunes plot into something far richer . 	0	WordSwapNeighboringCharacterSwap
300	it 's a chwrming and kften affecting johrney . 	1	it 's a charming and often affecting journey . 	0	WordSwapQWERTY
301	allows us to hkpe that nolan is pkised to ekbark a major career as a commercial yet inventive filmmaker . 	1	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	0	WordSwapQWERTY
302	the acting , costumes , music , cinematography and sound are all asyounding given the production 's austere locales . 	1	the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 	0	WordSwapQWERTY
303	although laced with humor and a few fanciful tojches , the film is a refrdshingly segious pook at young women . 	1	although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . 	0	WordSwapQWERTY
304	it 's a chadming and pften affecting yourney . 	1	it 's a charming and often affecting journey . 	0	WordSwapQWERTY
305	allows us to hope that nolan is pkised to enbark a major career as a commercial yet inventive filmmaker . 	1	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	0	WordSwapQWERTY
306	the acting , costumes , music , cinematography and sound are all astoknding given the production 's austere locales . 	1	the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 	0	WordSwapQWERTY
307	it 's a charmijg and often agfecting journey . 	1	it 's a charming and often affecting journey . 	0	WordSwapQWERTY
308	allows us to hope that nolan is poisec to embark a major careet as a commercial tet inventive tilmmaker . 	1	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	0	WordSwapQWERTY
309	the acting , costumes , music , cinematography and sound are all xstounding given the production 's austere locales . 	1	the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 	0	WordSwapQWERTY
310	although laced with humor and a few fanciful touches , the film is a refresbingly segious lolk at younb women . 	1	although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . 	0	WordSwapQWERTY
311	a sometijes fedious film . 	0	a sometimes tedious film . 	1	WordSwapQWERTY
312	allows us to hope that nolan is pised to mbark a major career as a commercial yet inventiv flmmaker . 	1	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 	0	WordSwapRandomCharacterDeletion
313	the acting , costumes , music , cinematography and sound are all astounding gven the production 's austere ocales . 	1	the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . 	0	WordSwapRandomCharacterDeletion
314	alhough laced with humr and a few anciful ouches , the fil is a refeshingly serious loo at yong women . 	1	although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . 	0	WordSwapRandomCharacterDeletion
315	you do n' have to know about msic to ppreciate the film 's easygong blen of coedy and romane . 	1	you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 	0	WordSwapRandomCharacterDeletion
316	the mesmerizing performances of the leads kep the film gronded and keep the adience rveted . 	1	the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 	0	WordSwapRandomCharacterDeletion
317	it taes a strange kind of lziness to wase the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . 	0	it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . 	1	WordSwapRandomCharacterDeletion
318	even horror fans will most likely not find what they 're seeking with trouble every day ; the ovie lcks both thrills and humor . 	0	even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 	1	WordSwapRandomCharacterDeletion
319	a gorgous , igh-spirited usical from india that exquisitey blnds msic , danc , sog , and high draa . 	1	a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . 	0	WordSwapRandomCharacterDeletion
320	the emotions are aw and will strke a nerve with anyone who 's ever had family trauma . 	1	the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . 	0	WordSwapRandomCharacterDeletion
321	audrey tato has a knck for picking roles that magniy her otrageous charm , and in this iterate french comedy , she 's as morning-glory exubeant as she was in amélie . 	1	audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . 	0	WordSwapRandomCharacterDeletion
322	in its best moments , reembles a ad high school production of grease , withot benefit of song . 	0	in its best moments , resembles a bad high school production of grease , without benefit of song . 	1	WordSwapRandomCharacterDeletion
323	pumpin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneen tone that you never know when humor ends and tragedy begins . 	0	pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . 	1	WordSwapRandomCharacterDeletion
324	the iditarod lasts for das - this just felt like it did . 	0	the iditarod lasts for days - this just felt like it did . 	1	WordSwapRandomCharacterDeletion
325	a electable and intriguing thrller filled with urprises , red my lips is an oiginal . 	1	a delectable and intriguing thriller filled with surprises , read my lips is an original . 	0	WordSwapRandomCharacterDeletion
326	sedom has a movie so losely matched the spirit of a man and his work . 	1	seldom has a movie so closely matched the spirit of a man and his work . 	0	WordSwapRandomCharacterDeletion
327	nicks , seemingly ucertain what 's going to make people laugh , runs the gamut from tale parody to raunchy sex gags to formula romantic comedy . 	0	nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . 	1	WordSwapRandomCharacterDeletion
328	it 's an offbeat tret that pkes fun at the democratic exercise while als examining its significance for those who take part . 	1	it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 	0	WordSwapRandomCharacterDeletion
329	i had to look away - this was god awul . 	0	i had to look away - this was god awful . 	1	WordSwapRandomCharacterDeletion
330	hanks to scot 's chrismatic roer and eisenbrg 's seet nephw , roge dodge is one of the most compellig variations on in the compny of en . 	1	thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . 	0	WordSwapRandomCharacterDeletion
331	... designed to provide a mix of smiles and tears , `` crossroads '' nstead provokes a handful of unintentional howlers and numerous yans . 	0	... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . 	1	WordSwapRandomCharacterDeletion
332	a gorgeus , itty , sductive movie . 	1	a gorgeous , witty , seductive movie . 	0	WordSwapRandomCharacterDeletion
333	a sequence of idiculous shoot - 'em - up scenes . 	0	a sequence of ridiculous shoot - 'em - up scenes . 	1	WordSwapRandomCharacterDeletion
334	the weight of the piece , the unerrig professionalism of the chilly production , and the fascination embedded in the lurid topic proe recommendation enough . 	1	the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . 	0	WordSwapRandomCharacterDeletion
335	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is sort on the thrills the oversize medium demands . 	0	( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . 	1	WordSwapRandomCharacterDeletion
336	as surreal as a dream and as detailed as a photograph , as visually dexteous as it is at times imaginativly overwhelming . 	1	as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . 	0	WordSwapRandomCharacterDeletion
337	escaping the studio , piccoli is warly affectig and so is this aroitly minimalist movie . 	1	escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . 	0	WordSwapRandomCharacterDeletion
338	there 's ... tremendus energy from the cast , a sense of payfulness and excitement that seems appropiate . 	1	there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . 	0	WordSwapRandomCharacterDeletion
339	this illuminting documetary transceds our prconceived vision of the holy lnd and its inabitants , revealig the human complexities beeath . 	1	this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . 	0	WordSwapRandomCharacterDeletion
340	the subtle strength of `` elling '' is that it ever loses touch with the reality of the grim situation . 	1	the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . 	0	WordSwapRandomCharacterDeletion
341	holm ... embodies the character with an efortlessly rega chrisma . 	1	holm ... embodies the character with an effortlessly regal charisma . 	0	WordSwapRandomCharacterDeletion
342	the title not only describes its main characters , but the lzy people behind the camera as well . 	0	the title not only describes its main characters , but the lazy people behind the camera as well . 	1	WordSwapRandomCharacterDeletion
343	it offers litle beyond the momentary joys of pretty and weightless intellectual entertainment . 	0	it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . 	1	WordSwapRandomCharacterDeletion
344	a subtl and well-crfted ( for the most par ) hiller . 	1	a subtle and well-crafted ( for the most part ) chiller . 	0	WordSwapRandomCharacterDeletion
345	has a lot of the irtues of eastwod at his est . 	1	has a lot of the virtues of eastwood at his best . 	0	WordSwapRandomCharacterDeletion
346	for the most prt , director anne-sophie birot 's first eature is a snsitive , extrardinarily well-cted drama . 	1	for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . 	0	WordSwapRandomCharacterDeletion
347	mr. tsai is a very riginal artist in his medium , and what time is it there ? 	1	mr. tsai is a very original artist in his medium , and what time is it there ? 	0	WordSwapRandomCharacterDeletion
348	sade is an engagig loo at the controversial eponymous and fiercely atheistic hero . 	1	sade is an engaging look at the controversial eponymous and fiercely atheistic hero . 	0	WordSwapRandomCharacterDeletion
349	so dvoid of any kin of intelligible story that it makes films like xxx and collateral damae sem like thoughtful treatises 	0	so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises 	1	WordSwapRandomCharacterDeletion
350	a tener , heartfet famil drama . 	1	a tender , heartfelt family drama . 	0	WordSwapRandomCharacterDeletion
351	it 's just disappoitingly suerficial -- a movi that has all the elements necessay to be a fascinating , inolving character stud , but nver does more than sratch the surace . 	0	it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . 	1	WordSwapRandomCharacterDeletion
352	this is a stry of two misfits who do n't stand a chance aloe , but tgether they are magniicent . 	1	this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . 	0	WordSwapRandomCharacterDeletion
353	the primitive force of this film seems to ubble up from the vast collective memory of the combatants . 	1	the primitive force of this film seems to bubble up from the vast collective memory of the combatants . 	0	WordSwapRandomCharacterDeletion
354	on this tricky topic , tadpole is very uch a step in the ight direction , with its blen of franknss , civlity and compassin . 	1	on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . 	0	WordSwapRandomCharacterDeletion
355	the script kicks in , and mr. hartley 's distended ace and foot-dragging rhythms ollow . 	0	the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . 	1	WordSwapRandomCharacterDeletion
356	you woner why enugh was n't just a music ideo rathr than a full-length movie . 	0	you wonder why enough was n't just a music video rather than a full-length movie . 	1	WordSwapRandomCharacterDeletion
357	if you 're hard up for raunchy colleg humor , this is your tcket righ here . 	1	if you 're hard up for raunchy college humor , this is your ticket right here . 	0	WordSwapRandomCharacterDeletion
358	ood old-fashioned slash-and-hack is back ! 	1	good old-fashioned slash-and-hack is back ! 	0	WordSwapRandomCharacterDeletion
359	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou neve really builds up a head of emotional steam . 	0	for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . 	1	WordSwapRandomCharacterDeletion
360	exqusitely nuanced in mood tics and dialogue , this chamber drama is suprbly acted by the deply appealig veteran bouquet and the chilling but qite human berling . 	1	exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . 	0	WordSwapRandomCharacterDeletion
361	uses high coedy to evke surpriing poignance . 	1	uses high comedy to evoke surprising poignance . 	0	WordSwapRandomCharacterDeletion
362	one of creepiest , scariest movies to come along in a lng , long time , easily rivalig blair witch or the others . 	1	one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . 	0	WordSwapRandomCharacterDeletion
363	among the year 's most intriguig exploratins of alientation . 	1	among the year 's most intriguing explorations of alientation . 	0	WordSwapRandomCharacterDeletion
364	the moie fais to live up to the sum of its parts . 	0	the movie fails to live up to the sum of its parts . 	1	WordSwapRandomCharacterDeletion
